RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     117,     -99,    1925,     -99,     -99,     -99,    1987,     -99,  0.0968,     -99,   397.5,     -99,   12511,     -99,   10673,     -99,    4.90,     -99,   0.154,     -99,     -99,     -99,      35,     -99,     190,     -99,     155,     -99,     1.8,     -99,    8914,     -99,     188,     -99,   27.25,     -99,       9,     -99
2,USMZ8001,SN,1,1,MZ,75,     -99,     -99,     -99,     -99,     -99,     118,     -99,    2047,     -99,     -99,     -99,    2516,     -99,  0.0814,     -99,   503.2,     -99,   12066,     -99,   10094,     -99,    4.01,     -99,   0.170,     -99,     -99,     -99,      38,     -99,     159,     -99,     121,     -99,     1.8,     -99,    7598,     -99,     155,     -99,   27.65,     -99,       8,     -99
3,USMZ8001,SN,1,1,MZ,75,     -99,     -99,     -99,     -99,     -99,     119,     -99,    1335,     -99,     -99,     -99,     909,     -99,  0.1468,     -99,   181.9,     -99,    8805,     -99,    7548,     -99,    4.31,     -99,   0.152,     -99,     -99,     -99,      24,     -99,     169,     -99,     145,     -99,     1.8,     -99,    7137,     -99,     169,     -99,   27.27,     -99,      11,     -99
4,USMZ8001,SN,1,1,MZ,81,     -99,     -99,     -99,     -99,     -99,     129,     -99,    2363,     -99,     -99,     -99,    1262,     -99,  0.1873,     -99,   252.3,     -99,   11064,     -99,    8782,     -99,    4.24,     -99,   0.214,     -99,     -99,     -99,      42,     -99,     169,     -99,     128,     -99,     1.8,     -99,    7796,     -99,     168,     -99,   27.40,     -99,      11,     -99
5,USMZ8001,SN,1,1,MZ,79,     -99,     -99,     -99,     -99,     -99,     131,     -99,    6856,     -99,     -99,     -99,    3100,     -99,  0.2212,     -99,   620.0,     -99,   20840,     -99,   14077,     -99,    5.10,     -99,   0.329,     -99,     -99,     -99,     114,     -99,     198,     -99,      85,     -99,     1.7,     -99,   10472,     -99,     200,     -99,   27.76,     -99,       8,     -99
6,USMZ8001,SN,1,1,MZ,76,     -99,     -99,     -99,     -99,     -99,     124,     -99,    4357,     -99,     -99,     -99,    2598,     -99,  0.1677,     -99,   519.7,     -99,   16815,     -99,   12544,     -99,    4.96,     -99,   0.259,     -99,     -99,     -99,      77,     -99,     190,     -99,     113,     -99,     1.8,     -99,    9380,     -99,     190,     -99,   26.45,     -99,       9,     -99
7,USMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     119,     -99,    2173,     -99,     -99,     -99,    1783,     -99,  0.1219,     -99,   356.6,     -99,   10937,     -99,    8840,     -99,    3.84,     -99,   0.199,     -99,     -99,     -99,      39,     -99,     159,     -99,     119,     -99,     1.8,     -99,    7258,     -99,     153,     -99,   27.68,     -99,       7,     -99
8,USMZ8001,SN,1,1,MZ,79,     -99,     -99,     -99,     -99,     -99,     126,     -99,    4889,     -99,     -99,     -99,    3100,     -99,  0.1577,     -99,   620.0,     -99,   18483,     -99,   13685,     -99,    5.00,     -99,   0.265,     -99,     -99,     -99,      87,     -99,     196,     -99,     108,     -99,     1.8,     -99,   10062,     -99,     196,     -99,   27.94,     -99,       7,     -99
9,USMZ8001,SN,1,1,MZ,72,     -99,     -99,     -99,     -99,     -99,     118,     -99,    4648,     -99,     -99,     -99,    3100,     -99,  0.1499,     -99,   620.0,     -99,   17394,     -99,   12834,     -99,    4.97,     -99,   0.267,     -99,     -99,     -99,      84,     -99,     198,     -99,     114,     -99,     1.8,     -99,    9645,     -99,     197,     -99,   27.93,     -99,      10,     -99
10,USMZ8001,SN,1,1,MZ,77,     -99,     -99,     -99,     -99,     -99,     125,     -99,    6109,     -99,     -99,     -99,    3045,     -99,  0.2006,     -99,   608.9,     -99,   17603,     -99,   11576,     -99,    3.93,     -99,   0.347,     -99,     -99,     -99,     107,     -99,     181,     -99,      74,     -99,     1.7,     -99,    8444,     -99,     168,     -99,   28.62,     -99,      10,     -99
