RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     115,     -99,    3748,     -99,     -99,     -99,    1521,     -99,  0.2464,     -99,   304.3,     -99,   13228,     -99,    9561,     -99,    3.99,     -99,   0.283,     -99,     -99,     -99,      53,     -99,     118,     -99,      65,     -99,     1.4,     -99,    7960,     -99,     109,     -99,   27.50,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,61,     -99,     -99,     -99,     -99,     -99,     113,     -99,    4842,     -99,     -99,     -99,    2072,     -99,  0.2337,     -99,   414.3,     -99,   16134,     -99,   11381,     -99,    4.54,     -99,   0.300,     -99,     -99,     -99,      74,     -99,     149,     -99,      75,     -99,     1.5,     -99,    9057,     -99,     137,     -99,   28.28,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     111,     -99,    4824,     -99,     -99,     -99,    2019,     -99,  0.2389,     -99,   403.9,     -99,   15195,     -99,   10455,     -99,    4.41,     -99,   0.317,     -99,     -99,     -99,      74,     -99,     143,     -99,      68,     -99,     1.5,     -99,    8533,     -99,     136,     -99,   27.31,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4464,     -99,     -99,     -99,    1861,     -99,  0.2399,     -99,   372.2,     -99,   15022,     -99,   10643,     -99,    4.16,     -99,   0.297,     -99,     -99,     -99,      67,     -99,     140,     -99,      73,     -99,     1.5,     -99,    8771,     -99,     126,     -99,   27.86,     -99,       5,     -99
5,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    3901,     -99,     -99,     -99,    1666,     -99,  0.2342,     -99,   333.1,     -99,   13805,     -99,    9987,     -99,    4.02,     -99,   0.283,     -99,     -99,     -99,      57,     -99,     123,     -99,      67,     -99,     1.5,     -99,    8090,     -99,     113,     -99,   27.62,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     113,     -99,    3744,     -99,     -99,     -99,    1602,     -99,  0.2337,     -99,   320.3,     -99,   12850,     -99,    9184,     -99,    3.82,     -99,   0.291,     -99,     -99,     -99,      52,     -99,     114,     -99,      63,     -99,     1.4,     -99,    7363,     -99,     104,     -99,   28.15,     -99,       5,     -99
7,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4570,     -99,     -99,     -99,    1914,     -99,  0.2388,     -99,   382.7,     -99,   12566,     -99,    8063,     -99,    3.01,     -99,   0.364,     -99,     -99,     -99,      79,     -99,     134,     -99,      55,     -99,     1.7,     -99,    6058,     -99,     128,     -99,   27.48,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    3920,     -99,     -99,     -99,    1593,     -99,  0.2461,     -99,   318.6,     -99,   13286,     -99,    9445,     -99,    4.10,     -99,   0.295,     -99,     -99,     -99,      61,     -99,     128,     -99,      67,     -99,     1.5,     -99,    7940,     -99,     117,     -99,   27.65,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    3799,     -99,     -99,     -99,    1625,     -99,  0.2338,     -99,   324.9,     -99,   13822,     -99,   10107,     -99,    4.20,     -99,   0.275,     -99,     -99,     -99,      56,     -99,     128,     -99,      72,     -99,     1.5,     -99,    8249,     -99,     118,     -99,   27.58,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     113,     -99,    3929,     -99,     -99,     -99,    1690,     -99,  0.2325,     -99,   338.0,     -99,   13591,     -99,    9741,     -99,    3.88,     -99,   0.289,     -99,     -99,     -99,      53,     -99,     118,     -99,      65,     -99,     1.3,     -99,    7704,     -99,     106,     -99,   28.10,     -99,       5,     -99
