RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,LK04254018,          7.625,         81.542,     2.85,2010121,2010244,2010249,2010301,2010350,2010350,2010,-99,14323,3828,3828,0,5819,.2226750,1719,343.8534,.2672971,4.545749,-99.00000,-99,-99,-99,-99,-99,0,0,1176,657,323,335,170,203,202,2,100,0,162,8,16,77,141,63,.2636099,-99,-99,-99,-99,-99,-99,-99,-99,250,27803,27801,0,0,199513,199483,.000000,.000000,14.97705,34.30586,44.38594,-99.00000,4.002928,9.168953,11.86306,-99.00000,143.2256,88.41084,38.28000,23.62963,106,28.70378,26.71699,17.84151,11.79833,390.4105,956.3000,417.4959,98.27245,322.6823,1,
2,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,LK04254018,          7.625,         81.542,     2.85,2011121,2011244,2011249,2011302,2011349,2011349,2011,-99,11318,3518,3518,0,5604,.2046750,1719,343.8108,.3108808,2.630361,-99.00000,-99,-99,-99,-99,-99,0,0,854,506,254,252,94,33,277,2,100,0,145,2,28,67,118,62,.1416978,-99,-99,-99,-99,-99,-99,-99,-99,250,27812,27810,0,0,199572,199537,.000000,.000000,15.58491,30.78721,44.53015,-99.00000,4.844395,9.569862,13.84170,-99.00000,113.1776,78.05353,35.18000,24.26207,105,29.11523,27.25619,18.35715,11.80061,392.2344,726.2001,367.6124,115.0297,254.1595,1,
3,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,LK04254018,          7.625,         81.542,     2.85,2012121,2012244,2012249,2012302,2012351,2012351,2012,-99,11345,3760,3760,0,6000,.2223376,1691,338.2578,.3314614,2.587680,-99.00000,-99,-99,-99,-99,-99,0,0,917,453,249,204,139,93,287,2,100,0,145,9,32,76,119,66,.1518302,-99,-99,-99,-99,-99,-99,-99,-99,250,27802,27800,0,0,199476,199445,.000000,.000000,15.58141,32.16676,45.53980,-99.00000,5.164125,10.66099,15.09320,-99.00000,113.4482,78.24017,37.60000,25.93103,107,28.79533,27.03365,18.07757,11.79608,394.7167,728.1001,352.6878,105.3094,249.1189,1,
4,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,LK04254018,          7.625,         81.542,     2.85,2013121,2013244,2013249,2013300,2013349,2013349,2013,-99,11574,3989,3989,0,6149,.2078493,1919,383.8304,.3446545,2.577693,-99.00000,-99,-99,-99,-99,-99,0,0,691,597,247,351,36,0,114,2,100,0,151,0,20,63,124,70,.3119432,-99,-99,-99,-99,-99,-99,-99,-99,250,27816,27814,0,0,199553,199519,.000000,.000000,24.51027,30.49970,46.94795,-99.00000,8.447692,10.51200,16.18105,-99.00000,115.7375,76.64735,39.89000,26.41722,105,29.24667,27.03238,18.59143,11.80061,397.2343,472.2000,379.4710,134.3297,246.5230,1,
5,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,LK04254018,          7.625,         81.542,     2.85,2014121,2014244,2014249,2014302,2014352,2014352,2014,-99,14026,3808,3808,0,5706,.2200500,1731,346.1245,.2715045,4.135098,-99.00000,-99,-99,-99,-99,-99,0,0,1206,552,304,248,173,245,292,2,100,0,157,10,17,75,136,62,.1438088,-99,-99,-99,-99,-99,-99,-99,-99,250,27805,27804,0,0,199547,199514,.000000,.000000,14.38607,39.68129,46.17717,-99.00000,3.905641,10.77298,12.53653,-99.00000,140.2642,89.34023,38.08000,24.25478,108,28.79537,27.02316,17.04907,11.79387,399.2303,975.0001,353.4768,51.47586,303.7522,1,
6,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,LK04254018,          7.625,         81.542,     2.85,2015121,2015244,2015249,2015302,2015350,2015350,2015,-99,12715,3764,3764,0,5239,.2146875,1753,350.6088,.2959881,3.747146,-99.00000,-99,-99,-99,-99,-99,0,0,1287,535,277,258,165,419,223,2,100,0,150,20,16,78,129,63,.1917941,-99,-99,-99,-99,-99,-99,-99,-99,250,27802,27801,0,0,199488,199460,.000000,.000000,11.02607,34.03574,45.88910,-99.00000,3.263961,10.07533,13.58419,-99.00000,127.1526,84.76842,37.64000,25.09333,106,28.87358,27.27641,16.86698,11.79833,401.7322,1153.200,373.5856,99.95731,277.0868,1,
7,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,LK04254018,          7.625,         81.542,     2.85,2016121,2016244,2016249,2016299,2016347,2016347,2016,-99,9087,3666,3666,0,5457,.2071875,1770,353.9291,.4034857,2.309884,-99.00000,-99,-99,-99,-99,-99,0,0,901,609,210,398,130,19,200,2,100,0,125,1,100,117,101,64,.2207437,-99,-99,-99,-99,-99,-99,-99,-99,250,27762,27759,0,0,199086,199044,.000000,.000000,24.48673,31.39074,43.21527,-99.00000,9.878738,12.66404,17.43444,-99.00000,90.87025,72.69620,36.66000,29.32800,103,29.86214,27.30971,18.63981,11.80527,404.9014,371.1000,289.4810,82.24619,210.2735,1,
8,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,LK04254018,          7.625,         81.542,     2.85,2017121,2017244,2017249,2017300,2017349,2017349,2017,-99,14332,4633,4633,0,7515,.2100000,2206,441.2805,.3232902,3.630340,-99.00000,-99,-99,-99,-99,-99,0,0,956,655,307,347,77,88,193,2,100,0,163,5,21,79,135,79,.2140431,-99,-99,-99,-99,-99,-99,-99,-99,250,27802,27801,0,0,199482,199452,.000000,.000000,19.25071,34.92739,46.66550,-99.00000,6.222969,11.29060,15.08505,-99.00000,143.3215,87.92732,46.33000,28.42331,105,29.29429,27.23428,18.30000,11.80061,406.9733,744.4999,410.3414,106.2283,307.1253,1,
9,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,LK04254018,          7.625,         81.542,     2.85,2018121,2018244,2018249,2018302,2018351,2018351,2018,-99,13619,3446,3446,0,5175,.2110125,1633,326.6052,.2530122,4.454764,-99.00000,-99,-99,-99,-99,-99,0,0,1169,667,310,356,102,199,258,2,100,0,165,9,17,82,141,59,.1961645,-99,-99,-99,-99,-99,-99,-99,-99,250,27798,27796,0,0,199445,199415,.000000,.000000,15.37532,36.90660,43.87184,-99.00000,3.890269,9.338121,11.10047,-99.00000,136.1946,82.54216,34.46000,20.88485,107,28.55795,27.06449,17.47757,11.79608,409.3336,885.8000,369.0250,62.53773,310.4373,1,
10,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,LK04254018,          7.625,         81.542,     2.85,2019121,2019244,2019249,2019302,2019350,2019350,2019,-99,14478,3952,3952,0,5906,.1898250,2082,416.3859,.2729670,4.550260,-99.00000,-99,-99,-99,-99,-99,0,0,1468,663,305,358,256,377,228,2,100,0,167,17,15,90,147,68,.1905377,-99,-99,-99,-99,-99,-99,-99,-99,250,27790,27789,0,0,199386,199360,.000000,.000000,12.04895,34.66048,47.40663,-99.00000,3.288949,9.461115,12.94037,-99.00000,144.7802,86.69473,39.52000,23.66467,106,28.75000,27.38208,16.90849,11.79833,412.1255,1201.600,417.7098,116.1191,305.4008,1,
