RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,US02653589,         39.000,        -88.000,      -99,2010032,2010105,2010119,2010193,2010248,2010248,2010,-99,19213,6116,6116,0,9803,.2257685,2709,541.8228,.3183374,5.087608,-99.00000,-99,-99,-99,-99,-99,0,0,740,730,457,273,55,0,33,3,200,0,241,0,9,41,183,104,.2430117,-99,-99,-99,-99,-99,-99,-99,-99,250,26935,26933,0,0,194661,194624,.000000,.5485936,33.59563,31.89985,42.06180,-99.00000,10.69418,10.15438,13.38913,-99.00000,96.06669,79.72340,30.58000,25.37759,143,27.23496,17.34965,21.66014,14.04645,389.7516,571.8999,602.3019,149.6131,456.7883,1,
2,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,US02653589,         39.000,        -88.000,      -99,2011032,2011105,2011117,2011198,2011256,2011256,2011,-99,21508,8063,8063,0,11813,.2691751,2996,599.1147,.3749031,5.141296,-99.00000,-99,-99,-99,-99,-99,0,0,920,775,478,297,93,70,61,3,200,0,255,2,9,58,194,126,.2740219,-99,-99,-99,-99,-99,-99,-99,-99,250,26920,26918,0,0,194529,194494,.000000,.6539096,32.88150,33.61154,45.02678,-99.00000,12.32686,12.60054,16.87997,-99.00000,107.5389,84.34427,40.31500,31.61961,151,26.70928,16.59537,19.78808,13.96618,391.5880,654.1001,639.8931,166.0848,477.6667,1,
3,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,US02653589,         39.000,        -88.000,      -99,2012032,2012110,2012122,2012190,2012240,2012240,2012,-99,3948,1398,1398,0,1967,.1637561,854,170.7305,.3540923,1.818883,-99.00000,-99,-99,-99,-99,-99,0,0,402,429,124,305,13,0,38,3,200,0,79,0,153,22,54,24,.2137507,-99,-99,-99,-99,-99,-99,-99,-99,250,26942,26939,0,0,194346,194296,.000000,.3217186E-01,15.43340,13.07235,31.75752,-99.00000,5.465208,4.629120,11.24583,-99.00000,19.73932,49.97297,6.990000,17.69620,130,30.52692,16.88847,23.25692,14.15509,393.8057,255.8000,302.0012,178.5902,124.3127,1,
4,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,US02653589,         39.000,        -88.000,      -99,2013032,2013105,2013121,2013198,2013265,2013265,2013,-99,22199,9104,9104,0,14144,.3046642,2988,597.6418,.4101017,4.684583,-99.00000,-99,-99,-99,-99,-99,0,0,886,761,455,305,104,1,99,3,200,0,254,0,9,54,194,142,.2282575,-99,-99,-99,-99,-99,-99,-99,-99,250,26921,26919,0,0,194422,194386,.000000,.7592224,30.72153,33.73193,48.77038,-99.00000,12.59895,13.83352,20.00081,-99.00000,110.9969,87.39912,45.52000,35.84252,160,25.32563,15.42500,19.32125,13.86477,396.5537,722.6000,658.1116,206.0036,455.1815,1,
5,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,US02653589,         39.000,        -88.000,      -99,2014032,2014111,2014124,2014202,2014273,2014273,2014,-99,23647,9193,9193,0,14062,.3222838,2852,570.4917,.3887590,4.983809,-99.00000,-99,-99,-99,-99,-99,0,0,801,744,479,265,76,0,60,3,200,0,244,0,9,44,184,129,.2569956,-99,-99,-99,-99,-99,-99,-99,-99,250,26937,26935,0,0,194789,194753,.000000,.4340291,41.13250,37.46018,49.40707,-99.00000,15.99061,14.56296,19.20742,-99.00000,118.2354,96.91423,45.96500,37.67623,162,25.64815,15.41913,20.05741,13.79001,398.6803,574.9000,631.2589,155.0268,478.6172,1,
6,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,US02653589,         39.000,        -88.000,      -99,2015032,2015106,2015122,2015195,2015257,2015257,2015,-99,20777,8371,8371,0,12734,.2815498,2973,594.6305,.4028931,4.665358,-99.00000,-99,-99,-99,-99,-99,0,0,773,713,431,282,60,0,78,3,200,0,247,0,10,47,193,135,.2316330,-99,-99,-99,-99,-99,-99,-99,-99,250,26925,26923,0,0,194378,194342,.000000,.9820463,38.12292,35.25601,48.21820,-99.00000,15.35963,14.20456,19.42700,-99.00000,103.8849,84.11737,41.85500,33.89069,151,25.92583,16.10662,19.87483,13.96167,400.7487,545.0000,589.3176,161.8482,430.8952,1,
7,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,US02653589,         39.000,        -88.000,      -99,2016032,2016108,2016117,2016197,2016253,2016253,2016,-99,19301,7416,7416,0,11413,.2564974,2891,578.2470,.3842274,4.477970,-99.00000,-99,-99,-99,-99,-99,0,0,751,724,420,304,58,0,48,3,200,0,240,0,9,40,178,121,.2420466,-99,-99,-99,-99,-99,-99,-99,-99,250,26935,26933,0,0,194528,194490,.000000,.1649698,35.57774,32.60884,45.95671,-99.00000,13.67005,12.52931,17.65796,-99.00000,96.50461,80.42051,37.08000,30.90000,145,26.73379,17.17104,20.99862,14.01685,404.0681,542.5000,591.8922,173.5560,419.9805,1,
8,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,US02653589,         39.000,        -88.000,      -99,2017032,2017105,2017115,2017195,2017256,2017256,2017,-99,18146,6785,6785,0,9856,.2426704,2796,559.1729,.3738997,4.566002,-99.00000,-99,-99,-99,-99,-99,0,0,717,735,410,325,54,0,6,3,200,0,234,0,10,35,164,106,.2335919,-99,-99,-99,-99,-99,-99,-99,-99,250,26947,26944,0,0,194918,194876,.000000,.8355336E-01,32.46130,30.12128,44.25692,-99.00000,12.13775,11.26278,16.54830,-99.00000,90.72934,77.54644,33.92500,28.99573,151,27.25630,15.60133,21.58013,13.96618,406.3943,558.9999,602.4269,193.5807,410.0120,1,
9,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,US02653589,         39.000,        -88.000,      -99,2018032,2018115,2018125,2018193,2018254,2018254,2018,-99,22193,7762,7762,0,11929,.2690249,2885,577.0753,.3497650,5.150238,-99.00000,-99,-99,-99,-99,-99,0,0,996,723,480,243,162,0,190,3,200,0,256,0,10,57,201,122,.2113509,-99,-99,-99,-99,-99,-99,-99,-99,250,26919,26917,0,0,194504,194469,.000000,.3284490,34.90036,38.25510,46.22834,-99.00000,12.20632,13.37964,16.16826,-99.00000,110.9657,86.69193,38.81000,30.32031,139,27.78921,18.12302,21.64676,14.04367,408.4164,635.9000,580.1353,103.5872,480.0764,1,
10,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,US02653589,         39.000,        -88.000,      -99,2019032,2019112,2019123,2019197,2019259,2019259,2019,-99,22482,8871,8871,0,13707,.2879999,3080,616.0414,.3945737,4.877962,-99.00000,-99,-99,-99,-99,-99,0,0,1018,814,467,346,100,34,149,3,200,0,261,1,10,63,196,137,.2553931,-99,-99,-99,-99,-99,-99,-99,-99,250,26914,26912,0,0,194375,194341,.000000,1.161075,33.51592,34.43105,48.12593,-99.00000,13.22451,13.58559,18.98924,-99.00000,112.4124,86.13977,44.35500,33.98851,147,26.47211,16.95918,20.27891,13.97132,411.3297,670.8000,652.9711,189.3241,467.1594,1,
