RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     128,     -99,    5002,     -99,     -99,     -99,    1733,     -99,  0.2887,     -99,   346.5,     -99,   15474,     -99,   10552,     -99,    4.07,     -99,   0.323,     -99,     -99,     -99,      66,     -99,     130,     -99,      65,     -99,     1.3,     -99,    8392,     -99,     120,     -99,   27.51,     -99,       6,     -99
2,GHMZ8001,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5860,     -99,     -99,     -99,    2167,     -99,  0.2704,     -99,   433.5,     -99,   17681,     -99,   11910,     -99,    4.55,     -99,   0.331,     -99,     -99,     -99,      79,     -99,     148,     -99,      70,     -99,     1.3,     -99,    9243,     -99,     138,     -99,   28.19,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     122,     -99,    4908,     -99,     -99,     -99,    1818,     -99,  0.2700,     -99,   363.5,     -99,   15377,     -99,   10553,     -99,    4.38,     -99,   0.319,     -99,     -99,     -99,      73,     -99,     139,     -99,      66,     -99,     1.5,     -99,    8410,     -99,     131,     -99,   27.49,     -99,       6,     -99
4,GHMZ8001,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     124,     -99,    5329,     -99,     -99,     -99,    1930,     -99,  0.2761,     -99,   386.0,     -99,   16194,     -99,   10951,     -99,    4.28,     -99,   0.329,     -99,     -99,     -99,      77,     -99,     146,     -99,      69,     -99,     1.4,     -99,    8789,     -99,     130,     -99,   27.33,     -99,       6,     -99
5,GHMZ8001,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     123,     -99,    4824,     -99,     -99,     -99,    1783,     -99,  0.2706,     -99,   356.5,     -99,   15050,     -99,   10310,     -99,    4.08,     -99,   0.321,     -99,     -99,     -99,      64,     -99,     127,     -99,      63,     -99,     1.3,     -99,    8439,     -99,     118,     -99,   27.64,     -99,       6,     -99
6,GHMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     124,     -99,    3822,     -99,     -99,     -99,    1477,     -99,  0.2589,     -99,   295.3,     -99,   13344,     -99,    9601,     -99,    3.82,     -99,   0.286,     -99,     -99,     -99,      52,     -99,     118,     -99,      66,     -99,     1.4,     -99,    7649,     -99,     106,     -99,   27.66,     -99,       6,     -99
7,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4877,     -99,     -99,     -99,    1890,     -99,  0.2580,     -99,   378.0,     -99,   13570,     -99,    8765,     -99,    3.37,     -99,   0.359,     -99,     -99,     -99,      83,     -99,     138,     -99,      55,     -99,     1.7,     -99,    6829,     -99,     136,     -99,   27.70,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     119,     -99,    4837,     -99,     -99,     -99,    1832,     -99,  0.2640,     -99,   366.4,     -99,   15246,     -99,   10491,     -99,    4.36,     -99,   0.317,     -99,     -99,     -99,      76,     -99,     143,     -99,      67,     -99,     1.6,     -99,    8515,     -99,     135,     -99,   27.09,     -99,       6,     -99
9,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     121,     -99,    4587,     -99,     -99,     -99,    1697,     -99,  0.2703,     -99,   339.3,     -99,   14995,     -99,   10491,     -99,    4.20,     -99,   0.306,     -99,     -99,     -99,      66,     -99,     134,     -99,      69,     -99,     1.4,     -99,    8589,     -99,     124,     -99,   27.48,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     120,     -99,    5026,     -99,     -99,     -99,    1943,     -99,  0.2587,     -99,   388.6,     -99,   15229,     -99,   10283,     -99,    3.93,     -99,   0.330,     -99,     -99,     -99,      64,     -99,     122,     -99,      58,     -99,     1.3,     -99,    7761,     -99,     111,     -99,   27.06,     -99,       5,     -99
