RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,LK04158960,          9.625,         80.125,     0.81,2010121,2010270,2010275,2010330,2011017,2011017,2011,-99,12359,3170,3170,0,4650,.2400001,1321,264.1346,.2564563,4.310736,-99.00000,-99,-99,-99,-99,-99,0,0,1469,523,264,259,266,502,239,2,100,0,157,20,18,87,130,54,.4142623,-99,-99,-99,-99,-99,-99,-99,-99,250,27520,27518,0,0,197868,197838,.000000,.2677653,9.172009,33.15155,46.87058,-99.00000,2.352504,8.502954,12.02171,-99.00000,123.5928,78.72157,31.70000,20.19108,112,27.68036,26.39465,14.43214,11.58732,390.5535,1347.500,372.8116,112.1447,263.6896,1,
2,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,LK04158960,          9.625,         80.125,     0.81,2011121,2011278,2011283,2011338,2012024,2012024,2012,-99,13962,4467,4467,0,6306,.2392743,1867,373.3416,.3199042,3.846868,-99.00000,-99,-99,-99,-99,-99,0,0,1175,516,299,217,219,328,172,2,100,0,145,27,25,89,129,67,.2901875,-99,-99,-99,-99,-99,-99,-99,-99,250,27516,27514,0,0,197889,197857,.000000,.4882297E-01,12.84585,33.07140,46.68022,-99.00000,4.109854,10.58074,14.93469,-99.00000,139.6216,96.29073,44.67000,30.80690,111,27.86395,26.47478,16.18288,11.55962,392.4639,1086.900,422.1822,126.3338,299.1022,1,
3,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,LK04158960,          9.625,         80.125,     0.81,2012121,2012272,2012277,2012332,2013016,2013016,2013,-99,13399,4032,4032,0,5776,.2268295,1777,355.4971,.3008972,3.785257,-99.00000,-99,-99,-99,-99,-99,0,0,1260,480,278,202,312,307,221,2,100,0,144,28,27,93,128,62,.3515324,-99,-99,-99,-99,-99,-99,-99,-99,250,27512,27511,0,0,197835,197807,.000000,.4102340E-01,11.18579,33.12946,48.11305,-99.00000,3.365890,9.968903,14.47758,-99.00000,133.9946,93.05184,40.32000,28.00000,110,27.98637,26.68727,15.75364,11.58048,394.9471,1197.900,404.4578,129.7066,278.4996,1,
4,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,LK04158960,          9.625,         80.125,     0.81,2013121,2013251,2013256,2013308,2013358,2013358,2013,-99,4331,2089,2089,0,2840,.2281875,915,183.0639,.4822954,.5947993,-99.00000,-99,-99,-99,-99,-99,0,0,539,387,93,294,41,0,171,2,100,0,58,0,108,59,51,36,.2883427,-99,-99,-99,-99,-99,-99,-99,-99,250,27544,27542,0,0,197988,197953,.000000,.2988390E-02,9.538843,15.53996,46.69881,-99.00000,4.601321,7.496124,22.52645,-99.00000,43.30635,74.66612,20.89000,36.01724,107,28.70467,26.95608,17.66168,11.69495,397.2893,454.0001,278.6773,186.7684,92.73545,1,
5,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,LK04158960,          9.625,         80.125,     0.81,2014121,2014270,2014275,2014328,2015014,2015014,2015,-99,11348,2937,2937,0,4507,.2398499,1225,244.9284,.2588298,4.297256,-99.00000,-99,-99,-99,-99,-99,0,0,1109,492,263,228,151,342,185,2,100,0,147,18,35,93,138,51,.3403142,-99,-99,-99,-99,-99,-99,-99,-99,250,27510,27509,0,0,197691,197662,.000000,.2021522,11.50253,31.93233,43.07690,-99.00000,2.976891,8.264185,11.14844,-99.00000,113.4840,77.19997,29.37000,19.97959,109,27.75871,26.52019,15.13211,11.58988,399.3710,986.5999,355.3889,95.13258,263.4450,1,
6,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,LK04158960,          9.625,         80.125,     0.81,2015121,2015248,2015253,2015305,2015353,2015353,2015,-99,12733,4001,4001,0,6160,.2128500,1880,375.9339,.3142236,3.642221,-99.00000,-99,-99,-99,-99,-99,0,0,1294,460,235,225,227,436,230,2,100,0,153,18,21,85,136,70,.4214500,-99,-99,-99,-99,-99,-99,-99,-99,250,27517,27515,0,0,197773,197743,.000000,.1062265,10.81782,36.70454,54.21837,-99.00000,3.399320,11.53379,17.03721,-99.00000,127.3258,83.21947,40.01000,26.15033,105,28.77429,27.41904,16.50477,11.71974,401.7714,1177.000,346.8938,114.1181,234.8389,1,
7,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,LK04158960,          9.625,         80.125,     0.81,2016121,2016244,2016249,2016301,2016349,2016349,2016,-99,4828,1377,1377,0,1864,.2125500,648,129.5958,.2852477,1.625146,-99.00000,-99,-99,-99,-99,-99,0,0,554,379,158,222,68,0,167,2,100,0,80,0,105,77,70,24,.1761306,-99,-99,-99,-99,-99,-99,-99,-99,250,27526,27523,0,0,197856,197814,.000000,.2524961E-02,12.20516,17.94583,30.63829,-99.00000,3.480789,5.117968,8.737729,-99.00000,48.28362,60.35453,13.77000,17.21250,105,29.55238,27.39142,18.11143,11.74736,404.9066,395.6000,269.0521,113.9422,157.5924,1,
8,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,LK04158960,          9.625,         80.125,     0.81,2017121,2017256,2017261,2017313,2017362,2017362,2017,-99,10755,3974,3974,0,6032,.2195624,1810,362.0382,.3695636,2.493104,-99.00000,-99,-99,-99,-99,-99,0,0,841,478,227,251,123,120,181,2,100,0,134,9,36,71,114,70,.2906408,-99,-99,-99,-99,-99,-99,-99,-99,250,27533,27531,0,0,197962,197928,.000000,.2646234E-01,14.63407,32.27334,47.29162,-99.00000,5.407539,11.92555,17.47507,-99.00000,107.5458,80.25803,39.74000,29.65672,106,28.65850,27.23490,16.65377,11.66631,407.0454,734.8999,333.2340,108.6875,227.4097,1,
9,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,LK04158960,          9.625,         80.125,     0.81,2018121,2018244,2018249,2018301,2018350,2018350,2018,-99,11133,3174,3174,0,4864,.2122125,1496,299.1057,.2850742,3.335391,-99.00000,-99,-99,-99,-99,-99,0,0,879,443,243,200,115,170,211,2,100,0,141,8,41,81,119,56,.2425173,-99,-99,-99,-99,-99,-99,-99,-99,250,27521,27519,0,0,197791,197759,.000000,.1042846,14.33911,33.92786,45.82556,-99.00000,4.088099,9.672876,13.06493,-99.00000,111.3288,78.95663,31.74000,22.51064,106,28.86037,27.26415,16.91887,11.74447,409.3281,776.4000,328.1340,86.78867,242.9405,1,
10,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,LK04158960,          9.625,         80.125,     0.81,2019121,2019268,2019273,2019327,-99,2020002,2020,-99,13047,3270,3270,0,5031,.1906595,1715,343.0049,.2506149,4.087011,-99.00000,-99,-99,-99,-99,-99,0,0,1014,495,278,217,187,199,193,2,100,0,150,16,26,83,133,52,.1835382,-99,-99,-99,-99,-99,-99,-99,-99,250,27522,27520,0,0,197917,197886,.000000,.3321340E-01,14.34246,35.24440,46.95528,-99.00000,3.594591,8.833158,11.76821,-99.00000,130.4734,86.98226,32.70000,21.80000,99,28.44142,27.29091,17.23333,11.61221,412.2803,909.7001,370.1960,96.16121,277.8673,1,
