RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     106,     -99,    3754,     -99,     -99,     -99,    1686,     -99,  0.2227,     -99,   337.1,     -99,   14075,     -99,   10408,     -99,    4.47,     -99,   0.267,     -99,     -99,     -99,      61,     -99,     137,     -99,      76,     -99,     1.6,     -99,    8844,     -99,     131,     -99,   27.41,     -99,       5,     -99
2,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     105,     -99,    3483,     -99,     -99,     -99,    1702,     -99,  0.2047,     -99,   340.3,     -99,   11080,     -99,    7660,     -99,    2.55,     -99,   0.314,     -99,     -99,     -99,      61,     -99,     116,     -99,      54,     -99,     1.8,     -99,    6123,     -99,     118,     -99,   28.45,     -99,       5,     -99
3,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     108,     -99,    4766,     -99,     -99,     -99,    2130,     -99,  0.2237,     -99,   426.1,     -99,   14628,     -99,    9942,     -99,    4.12,     -99,   0.326,     -99,     -99,     -99,      72,     -99,     134,     -99,      62,     -99,     1.5,     -99,    7783,     -99,     123,     -99,   27.80,     -99,       5,     -99
4,USMZ8001,SN,1,1,MZ,56,     -99,     -99,     -99,     -99,     -99,     105,     -99,    3738,     -99,     -99,     -99,    1772,     -99,  0.2110,     -99,   354.3,     -99,   12450,     -99,    8785,     -99,    3.35,     -99,   0.300,     -99,     -99,     -99,      64,     -99,     124,     -99,      60,     -99,     1.7,     -99,    7013,     -99,     121,     -99,   28.23,     -99,       5,     -99
5,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     108,     -99,    3800,     -99,     -99,     -99,    1727,     -99,  0.2201,     -99,   345.4,     -99,   13824,     -99,   10103,     -99,    3.98,     -99,   0.275,     -99,     -99,     -99,      62,     -99,     135,     -99,      73,     -99,     1.6,     -99,    8437,     -99,     128,     -99,   28.41,     -99,       5,     -99
6,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     106,     -99,    4033,     -99,     -99,     -99,    1937,     -99,  0.2082,     -99,   387.4,     -99,   11827,     -99,    7861,     -99,    3.16,     -99,   0.341,     -99,     -99,     -99,      69,     -99,     117,     -99,      48,     -99,     1.7,     -99,    5825,     -99,     115,     -99,   27.76,     -99,       5,     -99
7,USMZ8001,SN,1,1,MZ,55,     -99,     -99,     -99,     -99,     -99,     103,     -99,    1554,     -99,     -99,     -99,     750,     -99,  0.2072,     -99,   150.0,     -99,    3064,     -99,    1531,     -99,    0.80,     -99,   0.507,     -99,     -99,     -99,      27,     -99,      37,     -99,      10,     -99,     1.8,     -99,     983,     -99,      22,     -99,   27.88,     -99,       5,     -99
8,USMZ8001,SN,1,1,MZ,56,     -99,     -99,     -99,     -99,     -99,     105,     -99,    4564,     -99,     -99,     -99,    2173,     -99,  0.2100,     -99,   434.7,     -99,   14256,     -99,    9765,     -99,    3.65,     -99,   0.320,     -99,     -99,     -99,      77,     -99,     133,     -99,      57,     -99,     1.7,     -99,    7430,     -99,     128,     -99,   27.94,     -99,       5,     -99
9,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3027,     -99,     -99,     -99,    1436,     -99,  0.2109,     -99,   287.1,     -99,   12740,     -99,    9797,     -99,    4.31,     -99,   0.238,     -99,     -99,     -99,      51,     -99,     133,     -99,      82,     -99,     1.7,     -99,    8575,     -99,     129,     -99,   27.70,     -99,       5,     -99
10,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     106,     -99,    3906,     -99,     -99,     -99,    2057,     -99,  0.1898,     -99,   411.5,     -99,   14352,     -99,   10531,     -99,    4.50,     -99,   0.272,     -99,     -99,     -99,      66,     -99,     144,     -99,      78,     -99,     1.7,     -99,    8424,     -99,     138,     -99,   27.79,     -99,       5,     -99
