RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     111,     -99,    4249,     -99,     -99,     -99,    1727,     -99,  0.2460,     -99,   345.4,     -99,   14204,     -99,   10040,     -99,    4.48,     -99,   0.299,     -99,     -99,     -99,      67,     -99,     138,     -99,      71,     -99,     1.6,     -99,    8418,     -99,     134,     -99,   27.12,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3736,     -99,     -99,     -99,    1602,     -99,  0.2333,     -99,   320.3,     -99,   10474,     -99,    6793,     -99,    2.02,     -99,   0.357,     -99,     -99,     -99,      65,     -99,     112,     -99,      47,     -99,     1.7,     -99,    5158,     -99,     107,     -99,   28.60,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3747,     -99,     -99,     -99,    1565,     -99,  0.2394,     -99,   313.0,     -99,   10291,     -99,    6598,     -99,    2.15,     -99,   0.364,     -99,     -99,     -99,      65,     -99,     110,     -99,      45,     -99,     1.7,     -99,    5003,     -99,     103,     -99,   28.45,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,56,     -99,     -99,     -99,     -99,     -99,     106,     -99,    4039,     -99,     -99,     -99,    1839,     -99,  0.2196,     -99,   367.8,     -99,   10937,     -99,    6958,     -99,    2.26,     -99,   0.369,     -99,     -99,     -99,      71,     -99,     119,     -99,      48,     -99,     1.7,     -99,    5011,     -99,     104,     -99,   27.67,     -99,       5,     -99
5,GHMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4328,     -99,     -99,     -99,    1806,     -99,  0.2397,     -99,   361.2,     -99,   14995,     -99,   10752,     -99,    4.32,     -99,   0.289,     -99,     -99,     -99,      67,     -99,     141,     -99,      74,     -99,     1.6,     -99,    8816,     -99,     135,     -99,   28.05,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4300,     -99,     -99,     -99,    1847,     -99,  0.2328,     -99,   369.4,     -99,   13612,     -99,    9388,     -99,    3.74,     -99,   0.316,     -99,     -99,     -99,      71,     -99,     135,     -99,      64,     -99,     1.7,     -99,    7551,     -99,     130,     -99,   27.91,     -99,       5,     -99
7,GHMZ8001,SN,1,1,MZ,55,     -99,     -99,     -99,     -99,     -99,     105,     -99,    4246,     -99,     -99,     -99,    1832,     -99,  0.2318,     -99,   366.3,     -99,   10614,     -99,    6431,     -99,    2.50,     -99,   0.400,     -99,     -99,     -99,      74,     -99,     119,     -99,      46,     -99,     1.7,     -99,    4717,     -99,     100,     -99,   28.92,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,56,     -99,     -99,     -99,     -99,     -99,     107,     -99,    5285,     -99,     -99,     -99,    2206,     -99,  0.2396,     -99,   441.2,     -99,   15476,     -99,   10267,     -99,    4.02,     -99,   0.342,     -99,     -99,     -99,      85,     -99,     143,     -99,      58,     -99,     1.6,     -99,    7903,     -99,     138,     -99,   27.99,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     110,     -99,    3993,     -99,     -99,     -99,    1666,     -99,  0.2397,     -99,   333.2,     -99,   14836,     -99,   10930,     -99,    4.72,     -99,   0.269,     -99,     -99,     -99,      67,     -99,     155,     -99,      88,     -99,     1.7,     -99,    9397,     -99,     153,     -99,   28.46,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4989,     -99,     -99,     -99,    2229,     -99,  0.2238,     -99,   445.8,     -99,   15988,     -99,   11086,     -99,    4.48,     -99,   0.312,     -99,     -99,     -99,      75,     -99,     146,     -99,      71,     -99,     1.5,     -99,    8754,     -99,     138,     -99,   28.68,     -99,       5,     -99
