RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     115,     -99,    4591,     -99,     -99,     -99,    1779,     -99,  0.2580,     -99,   355.9,     -99,   15143,     -99,   10636,     -99,    4.40,     -99,   0.303,     -99,     -99,     -99,      69,     -99,     143,     -99,      73,     -99,     1.5,     -99,    8745,     -99,     134,     -99,   27.31,     -99,       5,     -99
2,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     112,     -99,    4306,     -99,     -99,     -99,    1707,     -99,  0.2522,     -99,   341.5,     -99,   15034,     -99,   10814,     -99,    4.52,     -99,   0.286,     -99,     -99,     -99,      64,     -99,     140,     -99,      76,     -99,     1.5,     -99,    9144,     -99,     134,     -99,   28.05,     -99,       5,     -99
3,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     115,     -99,    4524,     -99,     -99,     -99,    1753,     -99,  0.2581,     -99,   350.6,     -99,   15088,     -99,   10650,     -99,    4.31,     -99,   0.300,     -99,     -99,     -99,      67,     -99,     138,     -99,      70,     -99,     1.5,     -99,    8850,     -99,     132,     -99,   28.65,     -99,       5,     -99
4,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     112,     -99,    5260,     -99,     -99,     -99,    2140,     -99,  0.2459,     -99,   427.9,     -99,   16153,     -99,   10979,     -99,    4.20,     -99,   0.326,     -99,     -99,     -99,      76,     -99,     143,     -99,      67,     -99,     1.4,     -99,    8779,     -99,     135,     -99,   28.98,     -99,       5,     -99
5,USMZ8001,SN,1,1,MZ,61,     -99,     -99,     -99,     -99,     -99,     116,     -99,    4931,     -99,     -99,     -99,    1955,     -99,  0.2522,     -99,   391.0,     -99,   16320,     -99,   11483,     -99,    4.53,     -99,   0.302,     -99,     -99,     -99,      71,     -99,     146,     -99,      75,     -99,     1.4,     -99,    9419,     -99,     139,     -99,   29.05,     -99,       5,     -99
6,USMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4485,     -99,     -99,     -99,    1823,     -99,  0.2460,     -99,   364.6,     -99,   14987,     -99,   10587,     -99,    4.48,     -99,   0.299,     -99,     -99,     -99,      69,     -99,     143,     -99,      75,     -99,     1.5,     -99,    8626,     -99,     138,     -99,   27.88,     -99,       5,     -99
7,USMZ8001,SN,1,1,MZ,55,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3585,     -99,     -99,     -99,    1463,     -99,  0.2450,     -99,   292.7,     -99,    8682,     -99,    5147,     -99,    1.73,     -99,   0.413,     -99,     -99,     -99,      62,     -99,      99,     -99,      37,     -99,     1.7,     -99,    3667,     -99,      80,     -99,   28.83,     -99,       5,     -99
8,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4668,     -99,     -99,     -99,    1852,     -99,  0.2520,     -99,   370.5,     -99,   15691,     -99,   11110,     -99,    4.65,     -99,   0.298,     -99,     -99,     -99,      72,     -99,     148,     -99,      76,     -99,     1.5,     -99,    9141,     -99,     145,     -99,   28.43,     -99,       5,     -99
9,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     114,     -99,    3880,     -99,     -99,     -99,    1540,     -99,  0.2520,     -99,   307.9,     -99,   14376,     -99,   10584,     -99,    4.54,     -99,   0.270,     -99,     -99,     -99,      65,     -99,     146,     -99,      82,     -99,     1.7,     -99,    9096,     -99,     142,     -99,   27.98,     -99,       5,     -99
10,USMZ8001,SN,1,1,MZ,61,     -99,     -99,     -99,     -99,     -99,     114,     -99,    5188,     -99,     -99,     -99,    2108,     -99,  0.2461,     -99,   421.6,     -99,   15744,     -99,   10637,     -99,    4.31,     -99,   0.330,     -99,     -99,     -99,      72,     -99,     138,     -99,      66,     -99,     1.4,     -99,    8344,     -99,     128,     -99,   27.34,     -99,       5,     -99
