RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     125,     -99,    4271,     -99,     -99,     -99,    1576,     -99,  0.2709,     -99,   315.3,     -99,   13946,     -99,    9754,     -99,    3.76,     -99,   0.306,     -99,     -99,     -99,      55,     -99,     114,     -99,      59,     -99,     1.3,     -99,    7783,     -99,     105,     -99,   26.64,     -99,       6,     -99
2,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     124,     -99,    5446,     -99,     -99,     -99,    2109,     -99,  0.2583,     -99,   421.8,     -99,   16328,     -99,   10965,     -99,    4.15,     -99,   0.334,     -99,     -99,     -99,      73,     -99,     136,     -99,      63,     -99,     1.3,     -99,    8416,     -99,     124,     -99,   27.14,     -99,       6,     -99
3,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     123,     -99,    4185,     -99,     -99,     -99,    1582,     -99,  0.2646,     -99,   316.4,     -99,   13690,     -99,    9582,     -99,    4.01,     -99,   0.306,     -99,     -99,     -99,      58,     -99,     120,     -99,      63,     -99,     1.4,     -99,    7917,     -99,     113,     -99,   26.87,     -99,       6,     -99
4,GHMZ8001,SN,1,1,MZ,68,     -99,     -99,     -99,     -99,     -99,     125,     -99,    4809,     -99,     -99,     -99,    1818,     -99,  0.2646,     -99,   363.5,     -99,   15054,     -99,   10326,     -99,    3.93,     -99,   0.319,     -99,     -99,     -99,      65,     -99,     128,     -99,      63,     -99,     1.3,     -99,    8088,     -99,     115,     -99,   27.33,     -99,       6,     -99
5,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     124,     -99,    4434,     -99,     -99,     -99,    1673,     -99,  0.2650,     -99,   334.7,     -99,   14745,     -99,   10392,     -99,    4.09,     -99,   0.301,     -99,     -99,     -99,      58,     -99,     123,     -99,      65,     -99,     1.3,     -99,    8211,     -99,     114,     -99,   27.22,     -99,       6,     -99
6,GHMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     122,     -99,    2861,     -99,     -99,     -99,    1101,     -99,  0.2599,     -99,   220.2,     -99,   11317,     -99,    8529,     -99,    3.52,     -99,   0.253,     -99,     -99,     -99,      37,     -99,      97,     -99,      60,     -99,     1.3,     -99,    7084,     -99,      88,     -99,   26.52,     -99,       6,     -99
7,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     120,     -99,    4956,     -99,     -99,     -99,    1921,     -99,  0.2580,     -99,   384.2,     -99,   14574,     -99,    9690,     -99,    3.54,     -99,   0.340,     -99,     -99,     -99,      82,     -99,     140,     -99,      58,     -99,     1.7,     -99,    7493,     -99,     134,     -99,   27.53,     -99,       6,     -99
8,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     119,     -99,    5085,     -99,     -99,     -99,    1971,     -99,  0.2580,     -99,   394.2,     -99,   15272,     -99,   10265,     -99,    4.23,     -99,   0.333,     -99,     -99,     -99,      76,     -99,     138,     -99,      63,     -99,     1.5,     -99,    8269,     -99,     129,     -99,   26.88,     -99,       6,     -99
9,GHMZ8001,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     122,     -99,    4054,     -99,     -99,     -99,    1530,     -99,  0.2649,     -99,   306.0,     -99,   13737,     -99,    9760,     -99,    3.86,     -99,   0.295,     -99,     -99,     -99,      54,     -99,     118,     -99,      64,     -99,     1.3,     -99,    7842,     -99,     107,     -99,   27.03,     -99,       6,     -99
10,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     -99,     -99,    2768,     -99,     -99,     -99,    1062,     -99,  0.2607,     -99,   212.4,     -99,   10491,     -99,    7792,     -99,    2.94,     -99,   0.264,     -99,     -99,     -99,      31,     -99,      81,     -99,      49,     -99,     1.1,     -99,    6194,     -99,      72,     -99,   27.25,     -99,       5,     -99
