RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     106,     -99,     299,     -99,     -99,     -99,     269,     -99,  0.1112,     -99,    61.5,     -99,    5674,     -99,    5443,     -99,    3.58,     -99,   0.053,     -99,     -99,     -99,       5,     -99,     130,     -99,     124,     -99,     1.8,     -99,    5634,     -99,     130,     -99,   27.74,     -99,       7,     -99
2,USMZ8001,SN,1,1,MZ,-99,     -99,     -99,     -99,     -99,     -99,      21,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,      23,     -99,      23,     -99,    0.03,     -99,   0.000,     -99,     -99,     -99,       0,     -99,       1,     -99,       1,     -99,     0.0,     -99,       0,     -99,       0,     -99,   12.57,     -99,       5,     -99
3,USMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     103,     -99,     174,     -99,     -99,     -99,     244,     -99,  0.0713,     -99,    57.2,     -99,    3129,     -99,    3005,     -99,    2.57,     -99,   0.056,     -99,     -99,     -99,       3,     -99,      83,     -99,      79,     -99,     1.9,     -99,    3127,     -99,      83,     -99,   26.94,     -99,       6,     -99
4,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     100,     -99,     162,     -99,     -99,     -99,     436,     -99,  0.0371,     -99,    88.6,     -99,    4588,     -99,    4483,     -99,    3.11,     -99,   0.035,     -99,     -99,     -99,       3,     -99,     120,     -99,     117,     -99,     1.9,     -99,    4518,     -99,     120,     -99,   28.73,     -99,       5,     -99
5,USMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,      91,     -99,      72,     -99,     -99,     -99,     364,     -99,  0.0198,     -99,    77.3,     -99,    1279,     -99,    1224,     -99,    0.68,     -99,   0.056,     -99,     -99,     -99,       1,     -99,      28,     -99,      27,     -99,     1.9,     -99,    1183,     -99,      27,     -99,   29.76,     -99,      13,     -99
6,USMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     108,     -99,    1677,     -99,     -99,     -99,    2110,     -99,  0.0795,     -99,   422.0,     -99,   13468,     -99,   11873,     -99,    4.88,     -99,   0.125,     -99,     -99,     -99,      31,     -99,     200,     -99,     169,     -99,     1.8,     -99,    9709,     -99,     200,     -99,   26.77,     -99,       7,     -99
7,USMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     105,     -99,     128,     -99,     -99,     -99,     427,     -99,  0.0301,     -99,    87.2,     -99,    8003,     -99,    7961,     -99,    4.76,     -99,   0.016,     -99,     -99,     -99,       2,     -99,     192,     -99,     190,     -99,     1.9,     -99,    8128,     -99,     192,     -99,   27.95,     -99,       6,     -99
8,USMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     104,     -99,     194,     -99,     -99,     -99,     406,     -99,  0.0478,     -99,    84.0,     -99,    5595,     -99,    5455,     -99,    2.65,     -99,   0.035,     -99,     -99,     -99,       4,     -99,     124,     -99,     121,     -99,     1.9,     -99,    5480,     -99,     124,     -99,   27.50,     -99,       6,     -99
9,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,      89,     -99,      94,     -99,     -99,     -99,     414,     -99,  0.0226,     -99,    85.3,     -99,     701,     -99,     621,     -99,    0.45,     -99,   0.133,     -99,     -99,     -99,       2,     -99,      16,     -99,      14,     -99,     1.9,     -99,     528,     -99,      16,     -99,   30.40,     -99,       5,     -99
10,USMZ8001,SN,1,1,MZ,61,     -99,     -99,     -99,     -99,     -99,     103,     -99,     357,     -99,     -99,     -99,    1000,     -99,  0.0357,     -99,   200.1,     -99,    7153,     -99,    6867,     -99,    3.18,     -99,   0.050,     -99,     -99,     -99,       7,     -99,     143,     -99,     137,     -99,     1.9,     -99,    6404,     -99,     140,     -99,   29.57,     -99,       5,     -99
