RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     125,     -99,    4440,     -99,     -99,     -99,    1640,     -99,  0.2707,     -99,   328.0,     -99,   14246,     -99,    9884,     -99,    3.80,     -99,   0.312,     -99,     -99,     -99,      58,     -99,     118,     -99,      60,     -99,     1.3,     -99,    7877,     -99,     108,     -99,   26.64,     -99,       6,     -99
2,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     124,     -99,    5856,     -99,     -99,     -99,    2218,     -99,  0.2640,     -99,   443.6,     -99,   16897,     -99,   11125,     -99,    4.26,     -99,   0.347,     -99,     -99,     -99,      80,     -99,     142,     -99,      62,     -99,     1.4,     -99,    8524,     -99,     130,     -99,   27.06,     -99,       6,     -99
3,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     123,     -99,    4844,     -99,     -99,     -99,    1835,     -99,  0.2640,     -99,   367.0,     -99,   14794,     -99,   10028,     -99,    4.21,     -99,   0.327,     -99,     -99,     -99,      71,     -99,     133,     -99,      62,     -99,     1.5,     -99,    8225,     -99,     126,     -99,   26.87,     -99,       6,     -99
4,GHMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5630,     -99,     -99,     -99,    2133,     -99,  0.2640,     -99,   426.5,     -99,   16229,     -99,   10679,     -99,    4.19,     -99,   0.347,     -99,     -99,     -99,      80,     -99,     141,     -99,      62,     -99,     1.4,     -99,    8216,     -99,     128,     -99,   26.93,     -99,       6,     -99
5,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     124,     -99,    4374,     -99,     -99,     -99,    1650,     -99,  0.2650,     -99,   330.1,     -99,   14575,     -99,   10282,     -99,    4.03,     -99,   0.300,     -99,     -99,     -99,      57,     -99,     121,     -99,      64,     -99,     1.3,     -99,    8127,     -99,     112,     -99,   27.22,     -99,       6,     -99
6,GHMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     122,     -99,    3480,     -99,     -99,     -99,    1344,     -99,  0.2589,     -99,   268.8,     -99,   12527,     -99,    9122,     -99,    3.71,     -99,   0.278,     -99,     -99,     -99,      48,     -99,     112,     -99,      64,     -99,     1.4,     -99,    7539,     -99,     103,     -99,   26.53,     -99,       6,     -99
7,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     120,     -99,    4957,     -99,     -99,     -99,    1921,     -99,  0.2580,     -99,   384.3,     -99,   15239,     -99,   10361,     -99,    4.05,     -99,   0.325,     -99,     -99,     -99,      82,     -99,     148,     -99,      65,     -99,     1.7,     -99,    8220,     -99,     139,     -99,   27.06,     -99,       6,     -99
8,GHMZ8001,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     122,     -99,    5249,     -99,     -99,     -99,    1988,     -99,  0.2640,     -99,   397.6,     -99,   15974,     -99,   10808,     -99,    4.22,     -99,   0.329,     -99,     -99,     -99,      76,     -99,     143,     -99,      67,     -99,     1.4,     -99,    8587,     -99,     132,     -99,   27.25,     -99,       6,     -99
9,GHMZ8001,SN,1,1,MZ,65,     -99,     -99,     -99,     -99,     -99,     122,     -99,    3997,     -99,     -99,     -99,    1542,     -99,  0.2593,     -99,   308.3,     -99,   13869,     -99,    9950,     -99,    3.80,     -99,   0.288,     -99,     -99,     -99,      51,     -99,     115,     -99,      64,     -99,     1.3,     -99,    7677,     -99,     103,     -99,   26.98,     -99,       6,     -99
10,GHMZ8001,SN,1,1,MZ,67,     -99,     -99,     -99,     -99,     -99,     -99,     -99,    3237,     -99,     -99,     -99,    1245,     -99,  0.2601,     -99,   248.9,     -99,   11675,     -99,    8512,     -99,    3.28,     -99,   0.277,     -99,     -99,     -99,      38,     -99,      91,     -99,      53,     -99,     1.2,     -99,    6710,     -99,      82,     -99,   27.25,     -99,       5,     -99
