RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     111,     -99,    4142,     -99,     -99,     -99,    1730,     -99,  0.2394,     -99,   346.0,     -99,   14466,     -99,   10411,     -99,    4.42,     -99,   0.286,     -99,     -99,     -99,      67,     -99,     142,     -99,      75,     -99,     1.6,     -99,    8796,     -99,     131,     -99,   27.87,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4189,     -99,     -99,     -99,    1749,     -99,  0.2395,     -99,   349.7,     -99,   13872,     -99,    9757,     -99,    3.75,     -99,   0.302,     -99,     -99,     -99,      68,     -99,     135,     -99,      68,     -99,     1.6,     -99,    8032,     -99,     127,     -99,   28.94,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3943,     -99,     -99,     -99,    1602,     -99,  0.2461,     -99,   320.5,     -99,   14073,     -99,   10214,     -99,    4.34,     -99,   0.280,     -99,     -99,     -99,      63,     -99,     140,     -99,      77,     -99,     1.6,     -99,    8721,     -99,     131,     -99,   28.41,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    2258,     -99,     -99,     -99,     993,     -99,  0.2274,     -99,   198.6,     -99,   10337,     -99,    8158,     -99,    3.85,     -99,   0.218,     -99,     -99,     -99,      39,     -99,     127,     -99,      88,     -99,     1.7,     -99,    7519,     -99,     130,     -99,   29.01,     -99,       5,     -99
5,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     111,     -99,    4141,     -99,     -99,     -99,    1773,     -99,  0.2335,     -99,   354.6,     -99,   15126,     -99,   11076,     -99,    4.54,     -99,   0.274,     -99,     -99,     -99,      67,     -99,     148,     -99,      80,     -99,     1.6,     -99,    9219,     -99,     142,     -99,   28.94,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4100,     -99,     -99,     -99,    1758,     -99,  0.2332,     -99,   351.5,     -99,   14424,     -99,   10409,     -99,    4.62,     -99,   0.284,     -99,     -99,     -99,      69,     -99,     149,     -99,      80,     -99,     1.7,     -99,    8729,     -99,     146,     -99,   27.94,     -99,       5,     -99
7,GHMZ8001,SN,1,1,MZ,55,     -99,     -99,     -99,     -99,     -99,     104,     -99,    4438,     -99,     -99,     -99,    1940,     -99,  0.2288,     -99,   387.9,     -99,   12001,     -99,    7632,     -99,    3.03,     -99,   0.370,     -99,     -99,     -99,      77,     -99,     131,     -99,      54,     -99,     1.7,     -99,    5819,     -99,     122,     -99,   28.73,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,56,     -99,     -99,     -99,     -99,     -99,     106,     -99,    4032,     -99,     -99,     -99,    1733,     -99,  0.2326,     -99,   346.7,     -99,   14332,     -99,   10385,     -99,    4.61,     -99,   0.281,     -99,     -99,     -99,      69,     -99,     146,     -99,      77,     -99,     1.7,     -99,    8746,     -99,     143,     -99,   27.98,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     110,     -99,    3516,     -99,     -99,     -99,    1466,     -99,  0.2398,     -99,   293.2,     -99,   13882,     -99,   10454,     -99,    4.71,     -99,   0.253,     -99,     -99,     -99,      61,     -99,     147,     -99,      87,     -99,     1.7,     -99,    9202,     -99,     156,     -99,   28.60,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4261,     -99,     -99,     -99,    1903,     -99,  0.2239,     -99,   380.7,     -99,   14804,     -99,   10630,     -99,    4.45,     -99,   0.288,     -99,     -99,     -99,      65,     -99,     140,     -99,      76,     -99,     1.5,     -99,    8653,     -99,     131,     -99,   28.19,     -99,       5,     -99
