RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,138,     -99,     -99,     -99,     -99,     -99,     162,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,    1043,     -99,    1063,     -99,    0.68,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      28,     -99,      28,     -99,     0.0,     -99,    1254,     -99,      28,     -99,   26.27,     -99,      29,     -99
2,USMZ8001,SN,1,1,MZ,125,     -99,     -99,     -99,     -99,     -99,     168,     -99,      39,     -99,     -99,     -99,     226,     -99,  0.0171,     -99,    54.0,     -99,     445,     -99,     430,     -99,    0.79,     -99,   0.087,     -99,     -99,     -99,       1,     -99,      22,     -99,      21,     -99,     1.7,     -99,     892,     -99,      22,     -99,   25.13,     -99,      31,     -99
3,USMZ8001,SN,1,1,MZ,-99,     -99,     -99,     -99,     -99,     -99,     114,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,     512,     -99,     517,     -99,    0.49,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      19,     -99,      19,     -99,     0.0,     -99,       0,     -99,       0,     -99,   25.39,     -99,      19,     -99
4,USMZ8001,SN,1,1,MZ,115,     -99,     -99,     -99,     -99,     -99,     144,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,     661,     -99,     679,     -99,    0.52,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      25,     -99,      25,     -99,     0.0,     -99,     991,     -99,      25,     -99,   27.38,     -99,      23,     -99
5,USMZ8001,SN,1,1,MZ,126,     -99,     -99,     -99,     -99,     -99,     179,     -99,     183,     -99,     -99,     -99,     222,     -99,  0.0824,     -99,    53.4,     -99,    1656,     -99,    1504,     -99,    0.78,     -99,   0.111,     -99,     -99,     -99,       3,     -99,      43,     -99,      39,     -99,     1.8,     -99,    1832,     -99,      43,     -99,   28.16,     -99,      19,     -99
6,USMZ8001,SN,1,1,MZ,122,     -99,     -99,     -99,     -99,     -99,     203,     -99,     190,     -99,     -99,     -99,     229,     -99,  0.0830,     -99,    54.6,     -99,     994,     -99,     828,     -99,    0.73,     -99,   0.192,     -99,     -99,     -99,       3,     -99,      33,     -99,      29,     -99,     1.8,     -99,    1078,     -99,      33,     -99,   27.28,     -99,      25,     -99
7,USMZ8001,SN,1,1,MZ,-99,     -99,     -99,     -99,     -99,     -99,     114,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,     526,     -99,     531,     -99,    0.33,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      16,     -99,      16,     -99,     0.0,     -99,       0,     -99,       0,     -99,   23.51,     -99,      20,     -99
8,USMZ8001,SN,1,1,MZ,112,     -99,     -99,     -99,     -99,     -99,     131,     -99,       0,     -99,     -99,     -99,     209,     -99,  0.0000,     -99,    51.0,     -99,     723,     -99,     744,     -99,    0.76,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      23,     -99,      23,     -99,     0.0,     -99,     854,     -99,      23,     -99,   27.59,     -99,      18,     -99
9,USMZ8001,SN,1,1,MZ,-99,     -99,     -99,     -99,     -99,     -99,     105,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,     522,     -99,     527,     -99,    0.61,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      18,     -99,      18,     -99,     0.0,     -99,       0,     -99,       0,     -99,   25.25,     -99,      16,     -99
10,USMZ8001,SN,1,1,MZ,119,     -99,     -99,     -99,     -99,     -99,     149,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,    2506,     -99,    2548,     -99,    1.61,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      58,     -99,      58,     -99,     0.0,     -99,    2705,     -99,      58,     -99,   26.41,     -99,      21,     -99
11,USMZ8001,SN,1,1,MZ,-99,     -99,     -99,     -99,     -99,     -99,      99,     -99,       0,     -99,     -99,     -99,       0,     -99,  0.0000,     -99,     0.0,     -99,     450,     -99,     453,     -99,    0.46,     -99,   0.000,     -99,     -99,     -99,       0,     -99,      12,     -99,      12,     -99,     0.0,     -99,       0,     -99,       0,     -99,   25.94,     -99,      15,     -99
12,USMZ8001,SN,1,1,MZ,105,     -99,     -99,     -99,     -99,     -99,     171,     -99,     339,     -99,     -99,     -99,     230,     -99,  0.1472,     -99,    54.8,     -99,    1219,     -99,     899,     -99,    0.35,     -99,   0.278,     -99,     -99,     -99,       6,     -99,      26,     -99,      19,     -99,     1.7,     -99,    1055,     -99,      26,     -99,   29.23,     -99,      15,     -99
