RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3951,     -99,     -99,     -99,    1698,     -99,  0.2326,     -99,   339.7,     -99,   14190,     -99,   10324,     -99,    4.48,     -99,   0.278,     -99,     -99,     -99,      67,     -99,     146,     -99,      79,     -99,     1.7,     -99,    8735,     -99,     139,     -99,   27.64,     -99,       5,     -99
2,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3823,     -99,     -99,     -99,    1720,     -99,  0.2222,     -99,   344.1,     -99,   14219,     -99,   10482,     -99,    4.26,     -99,   0.269,     -99,     -99,     -99,      60,     -99,     136,     -99,      76,     -99,     1.6,     -99,    8788,     -99,     128,     -99,   28.80,     -99,       5,     -99
3,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     108,     -99,    4621,     -99,     -99,     -99,    1989,     -99,  0.2324,     -99,   397.7,     -99,   14181,     -99,    9637,     -99,    3.90,     -99,   0.326,     -99,     -99,     -99,      67,     -99,     128,     -99,      61,     -99,     1.4,     -99,    7572,     -99,     116,     -99,   27.85,     -99,       5,     -99
4,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     106,     -99,    4159,     -99,     -99,     -99,    1889,     -99,  0.2202,     -99,   377.8,     -99,   14662,     -99,   10586,     -99,    4.36,     -99,   0.284,     -99,     -99,     -99,      67,     -99,     144,     -99,      77,     -99,     1.6,     -99,    8927,     -99,     140,     -99,   28.31,     -99,       5,     -99
5,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3973,     -99,     -99,     -99,    1717,     -99,  0.2313,     -99,   343.4,     -99,   14768,     -99,   10886,     -99,    4.79,     -99,   0.269,     -99,     -99,     -99,      69,     -99,     153,     -99,      85,     -99,     1.7,     -99,    9301,     -99,     152,     -99,   28.09,     -99,       5,     -99
6,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     107,     -99,    4118,     -99,     -99,     -99,    1846,     -99,  0.2230,     -99,   369.2,     -99,   14960,     -99,   10931,     -99,    4.76,     -99,   0.275,     -99,     -99,     -99,      71,     -99,     157,     -99,      86,     -99,     1.7,     -99,    9151,     -99,     155,     -99,   28.15,     -99,       5,     -99
7,USMZ8001,SN,1,1,MZ,55,     -99,     -99,     -99,     -99,     -99,     103,     -99,    4507,     -99,     -99,     -99,    2053,     -99,  0.2196,     -99,   410.5,     -99,   11497,     -99,    7049,     -99,    2.34,     -99,   0.392,     -99,     -99,     -99,      79,     -99,     126,     -99,      47,     -99,     1.7,     -99,    5052,     -99,     106,     -99,   28.61,     -99,       5,     -99
8,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3844,     -99,     -99,     -99,    1720,     -99,  0.2236,     -99,   343.9,     -99,   14425,     -99,   10668,     -99,    4.76,     -99,   0.267,     -99,     -99,     -99,      67,     -99,     150,     -99,      83,     -99,     1.7,     -99,    9057,     -99,     154,     -99,   28.54,     -99,       5,     -99
9,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3537,     -99,     -99,     -99,    1527,     -99,  0.2316,     -99,   305.4,     -99,   13739,     -99,   10288,     -99,    4.78,     -99,   0.257,     -99,     -99,     -99,      62,     -99,     147,     -99,      86,     -99,     1.7,     -99,    8940,     -99,     156,     -99,   27.89,     -99,       5,     -99
10,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     107,     -99,    4096,     -99,     -99,     -99,    1964,     -99,  0.2086,     -99,   392.7,     -99,   14680,     -99,   10673,     -99,    4.55,     -99,   0.279,     -99,     -99,     -99,      65,     -99,     143,     -99,      78,     -99,     1.6,     -99,    8693,     -99,     135,     -99,   28.32,     -99,       5,     -99
