RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     125,     -99,    5773,     -99,     -99,     -99,    2004,     -99,  0.2880,     -99,   400.9,     -99,   16887,     -99,   11200,     -99,    4.48,     -99,   0.342,     -99,     -99,     -99,      82,     -99,     146,     -99,      65,     -99,     1.4,     -99,    8990,     -99,     139,     -99,   27.42,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5155,     -99,     -99,     -99,    1863,     -99,  0.2767,     -99,   372.6,     -99,   16695,     -99,   11629,     -99,    4.39,     -99,   0.309,     -99,     -99,     -99,      68,     -99,     138,     -99,      70,     -99,     1.3,     -99,    9076,     -99,     131,     -99,   27.97,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     125,     -99,    4642,     -99,     -99,     -99,    1679,     -99,  0.2764,     -99,   335.9,     -99,   15026,     -99,   10466,     -99,    4.08,     -99,   0.309,     -99,     -99,     -99,      64,     -99,     132,     -99,      67,     -99,     1.4,     -99,    8352,     -99,     125,     -99,   27.88,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     121,     -99,    6292,     -99,     -99,     -99,    2330,     -99,  0.2700,     -99,   466.0,     -99,   17107,     -99,   10893,     -99,    3.87,     -99,   0.368,     -99,     -99,     -99,      90,     -99,     140,     -99,      50,     -99,     1.4,     -99,    7813,     -99,     135,     -99,   27.40,     -99,       6,     -99
5,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5867,     -99,     -99,     -99,    2080,     -99,  0.2821,     -99,   416.0,     -99,   17018,     -99,   11239,     -99,    4.61,     -99,   0.345,     -99,     -99,     -99,      79,     -99,     143,     -99,      64,     -99,     1.4,     -99,    9079,     -99,     138,     -99,   27.82,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     124,     -99,    4780,     -99,     -99,     -99,    1770,     -99,  0.2700,     -99,   354.0,     -99,   15011,     -99,   10312,     -99,    4.26,     -99,   0.318,     -99,     -99,     -99,      72,     -99,     137,     -99,      65,     -99,     1.5,     -99,    8436,     -99,     133,     -99,   26.87,     -99,       6,     -99
7,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     116,     -99,    2981,     -99,     -99,     -99,    1104,     -99,  0.2700,     -99,   220.8,     -99,    8261,     -99,    5329,     -99,    1.73,     -99,   0.361,     -99,     -99,     -99,      51,     -99,      90,     -99,      39,     -99,     1.7,     -99,    4263,     -99,      89,     -99,   28.08,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     121,     -99,    5418,     -99,     -99,     -99,    2007,     -99,  0.2700,     -99,   401.3,     -99,   16711,     -99,   11378,     -99,    4.64,     -99,   0.324,     -99,     -99,     -99,      85,     -99,     152,     -99,      67,     -99,     1.6,     -99,    8921,     -99,     149,     -99,   27.04,     -99,       6,     -99
9,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     123,     -99,    5255,     -99,     -99,     -99,    1904,     -99,  0.2760,     -99,   380.8,     -99,   16311,     -99,   11141,     -99,    4.54,     -99,   0.322,     -99,     -99,     -99,      81,     -99,     152,     -99,      71,     -99,     1.5,     -99,    9072,     -99,     144,     -99,   27.43,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,66,     -99,     -99,     -99,     -99,     -99,     -99,     -99,    6324,     -99,     -99,     -99,    2291,     -99,  0.2760,     -99,   458.2,     -99,   17041,     -99,   10798,     -99,    4.26,     -99,   0.371,     -99,     -99,     -99,      85,     -99,     140,     -99,      55,     -99,     1.3,     -99,    8081,     -99,     132,     -99,   27.21,     -99,       5,     -99
