RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,LK04305858,          6.542,         81.542,     33.7,2010121,2010244,2010249,2010301,2010352,2010352,2010,-99,14222,4242,4242,0,5961,.2380124,1782,356.4153,.2982406,4.503279,-99.00000,-99,-99,-99,-99,-99,0,0,974,583,322,261,126,103,225,2,100,0,163,4,19,77,143,70,.1493117,-99,-99,-99,-99,-99,-99,-99,-99,250,28042,28039,0,0,201597,201562,.000000,.1999983E-01,18.52058,37.71649,44.19485,-99.00000,5.524157,11.24975,13.18205,-99.00000,142.2195,87.25124,42.42000,26.02454,108,29.41945,25.44075,18.22778,11.82345,390.4166,767.9000,377.0752,58.52505,321.8011,1,
2,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,LK04305858,          6.542,         81.542,     33.7,2011121,2011244,2011249,2011301,2011351,2011351,2011,-99,8758,3238,3238,0,4956,.2233874,1449,289.8607,.3696692,1.645238,-99.00000,-99,-99,-99,-99,-99,0,0,671,466,201,265,46,0,222,2,100,0,115,0,52,58,95,57,.1755747,-99,-99,-99,-99,-99,-99,-99,-99,250,28059,28056,0,0,201701,201664,.000000,.3597221E-03,16.37927,28.41543,43.55304,-99.00000,6.055732,10.50573,16.10240,-99.00000,87.57996,76.15649,32.38000,28.15652,107,29.57758,25.80935,18.48411,11.82535,392.2421,534.7000,308.2127,109.5159,201.0881,1,
3,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,LK04305858,          6.542,         81.542,     33.7,2012121,2012268,2012273,2012327,2013012,2013012,2013,-99,15077,5052,5052,0,7421,.2400001,2105,421.0024,.3350721,4.027550,-99.00000,-99,-99,-99,-99,-99,0,0,1255,471,292,179,222,336,289,2,100,0,156,22,18,87,137,77,.1714678,-99,-99,-99,-99,-99,-99,-99,-99,250,28031,28029,0,0,201541,201512,.000000,.5103136E-01,12.95647,38.66970,51.61813,-99.00000,4.341326,12.95706,17.29569,-99.00000,150.7745,96.65031,50.52000,32.38462,110,28.41909,25.35637,16.60182,11.72773,394.9191,1163.700,389.9034,100.6615,292.0959,1,
4,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,LK04305858,          6.542,         81.542,     33.7,2013121,2013244,2013249,2013303,2013353,2013353,2013,-99,6701,2683,2683,0,3776,.2287875,1173,234.5526,.4004241,1.143865,-99.00000,-99,-99,-99,-99,-99,0,0,574,505,163,342,16,0,116,2,100,0,93,0,77,61,76,47,.1683664,-99,-99,-99,-99,-99,-99,-99,-99,250,28055,28053,0,0,201599,201561,.000000,.000000,17.14180,22.14650,41.01946,-99.00000,6.863647,8.867546,16.42436,-99.00000,67.00732,72.05087,26.83000,28.84946,109,29.81101,25.57248,18.56789,11.82159,397.2492,390.9000,302.5640,140.7058,163.3549,1,
5,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,LK04305858,          6.542,         81.542,     33.7,2014121,2014244,2014249,2014302,2014353,2014353,2014,-99,14075,4426,4426,0,6938,.2321624,1907,381.3199,.3144905,3.519372,-99.00000,-99,-99,-99,-99,-99,0,0,817,505,291,215,79,0,295,2,100,0,156,0,24,71,137,75,.1628613,-99,-99,-99,-99,-99,-99,-99,-99,250,28047,28045,0,0,201624,201589,.000000,.4121505E-01,21.50803,38.47735,48.44242,-99.00000,6.763446,12.09965,15.23328,-99.00000,140.7485,90.22342,44.26000,28.37180,109,29.31376,25.71651,18.17523,11.82159,399.2336,654.4001,365.7958,76.88214,290.5481,1,
6,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,LK04305858,          6.542,         81.542,     33.7,2015121,2015244,2015249,2015304,2015353,2015353,2015,-99,12998,4594,4594,0,7078,.2235750,2055,410.9301,.3534113,3.076656,-99.00000,-99,-99,-99,-99,-99,0,0,969,552,267,285,71,152,257,2,100,0,158,8,23,80,131,79,.1456113,-99,-99,-99,-99,-99,-99,-99,-99,250,28038,28036,0,0,201506,201474,.000000,.8580545E-01,16.87411,36.89391,48.75465,-99.00000,5.963910,13.03961,17.23162,-99.00000,129.9813,82.26665,45.94000,29.07595,109,28.85872,25.89267,17.38899,11.82159,401.7512,770.3000,352.3110,87.33472,266.6028,1,
7,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,LK04305858,          6.542,         81.542,     33.7,2016121,2016244,2016249,2016299,2016348,2016348,2016,-99,7252,2693,2693,0,3609,.2177250,1237,247.4204,.3714254,1.886150,-99.00000,-99,-99,-99,-99,-99,0,0,697,476,197,279,64,0,220,2,100,0,106,0,83,80,84,47,.2245432,-99,-99,-99,-99,-99,-99,-99,-99,250,28036,28033,0,0,201483,201441,.000000,.3359372E-03,15.77494,24.63902,36.89309,-99.00000,5.858168,9.149926,13.70059,-99.00000,72.51740,68.41264,26.93000,25.40566,104,31.29999,25.99134,18.65673,11.83121,404.9040,459.7000,294.3193,100.1439,196.5609,1,
8,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,LK04305858,          6.542,         81.542,     33.7,2017121,2017244,2017249,2017303,2017352,2017352,2017,-99,11999,3684,3684,0,6023,.2221125,1658,331.6954,.3070109,2.997326,-99.00000,-99,-99,-99,-99,-99,0,0,896,616,269,346,75,23,244,2,100,0,151,1,28,71,124,64,.1532678,-99,-99,-99,-99,-99,-99,-99,-99,250,28045,28043,0,0,201524,201491,.000000,.1463789E-01,17.83905,32.66204,44.56396,-99.00000,5.477253,10.02846,13.68279,-99.00000,119.9855,79.46058,36.84000,24.39735,108,29.69074,25.77685,18.08333,11.82345,406.9829,672.5999,367.3545,101.3437,269.2433,1,
9,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,LK04305858,          6.542,         81.542,     33.7,2018121,2018244,2018249,2018303,2018353,2018353,2018,-99,14467,3789,3789,0,5850,.2247750,1686,337.1629,.2619296,4.713313,-99.00000,-99,-99,-99,-99,-99,0,0,922,630,328,302,51,57,248,2,100,0,176,3,22,93,150,65,.3264297,-99,-99,-99,-99,-99,-99,-99,-99,250,28026,28024,0,0,201453,201421,.000000,.2745784,22.27721,38.35915,44.11576,-99.00000,5.834617,10.04663,11.55434,-99.00000,144.6682,82.19785,37.89000,21.52841,109,29.37706,25.57156,17.69266,11.82159,409.3444,649.4000,377.1413,53.21755,327.9287,1,
10,1,1,1,1,MZ,MZCER048,GHMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,LK04305858,          6.542,         81.542,     33.7,2019121,2019244,2019249,2019304,2019353,2019353,2019,-99,15355,4885,4885,0,6941,.2204249,2216,443.1907,.3181082,4.565192,-99.00000,-99,-99,-99,-99,-99,0,0,1268,599,301,298,157,256,318,2,100,0,165,13,19,88,146,77,.1504942,-99,-99,-99,-99,-99,-99,-99,-99,250,28030,28029,0,0,201461,201432,.000000,.1378487,14.88597,39.46301,51.01641,-99.00000,4.735822,12.55476,16.23035,-99.00000,153.5488,93.05990,48.85000,29.60606,109,28.86238,25.82110,16.01376,11.82159,412.1388,1031.500,389.0956,89.96230,300.9793,1,
