RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,US02342465,         45.000,        -95.000,      -99,2010032,2010105,2010124,2010211,2010308,2010308,2010,-99,21101,9602,9602,0,13704,.3617107,2655,530.9465,.4550787,4.760974,-99.00000,-99,-99,-99,-99,-99,0,0,795,691,457,233,68,0,111,3,200,0,241,0,11,42,161,121,.3047604,-99,-99,-99,-99,-99,-99,-99,-99,250,28010,28008,0,0,202956,202922,.000000,.000000,29.05224,32.59959,46.12348,-99.00000,13.22043,14.83468,20.98882,-99.00000,105.5032,87.55453,48.01000,39.84232,203,22.06206,10.86798,18.35961,13.58271,389.9202,726.3000,647.2670,189.7857,457.4816,1,
2,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,US02342465,         45.000,        -95.000,      -99,2011032,2011128,2011141,2011219,2011301,2011301,2011,-99,19118,6355,6355,0,11653,.2408821,2638,527.6511,.3324095,4.764555,-99.00000,-99,-99,-99,-99,-99,0,0,630,674,360,314,24,0,7,3,200,0,239,0,10,41,177,106,.6983553,-99,-99,-99,-99,-99,-99,-99,-99,250,27999,27997,0,0,202564,202526,.000000,.2349973E-02,42.44725,35.64887,53.11374,-99.00000,14.10968,11.84986,17.65527,-99.00000,95.59122,79.99265,31.77500,26.58996,173,23.31734,12.14856,18.43005,13.70134,391.7740,450.4001,536.2931,176.3477,359.9491,32,
3,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,US02342465,         45.000,        -95.000,      -99,2012032,2012109,2012124,2012204,2012278,2012278,2012,-99,14359,4414,4414,0,6544,.2414412,1828,365.6607,.3074220,4.720899,-99.00000,-99,-99,-99,-99,-99,0,0,537,581,315,267,24,0,6,3,200,0,215,0,27,33,170,80,.3327591,-99,-99,-99,-99,-99,-99,-99,-99,250,27995,27992,0,0,202271,202227,.000000,.000000,32.67869,28.54355,45.63164,-99.00000,10.04552,8.774362,14.02729,-99.00000,71.79509,66.78613,22.07000,20.53023,169,26.44853,12.90591,20.72603,14.13636,393.9416,439.4000,503.0565,188.5147,314.6724,1,
4,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,US02342465,         45.000,        -95.000,      -99,2013032,2013119,2013135,2013223,2013299,2013299,2013,-99,19719,6209,6209,0,9890,.2345455,2647,529.4156,.3148529,4.855632,-99.00000,-99,-99,-99,-99,-99,0,0,664,641,378,263,34,0,64,3,200,0,237,0,10,37,175,97,.3642552,-99,-99,-99,-99,-99,-99,-99,-99,250,28006,28003,0,0,202921,202879,.000000,.3213230E-02,38.70276,34.63976,52.22568,-99.00000,12.18646,10.90713,16.44446,-99.00000,98.59528,83.20277,31.04500,26.19831,180,24.05445,11.92611,17.89111,13.76262,396.7011,509.5000,569.2609,191.6870,377.5740,32,
5,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,US02342465,         45.000,        -95.000,      -99,2014032,2014114,2014140,2014226,2014312,2014312,2014,-99,16842,5725,5725,0,9128,.2694285,2125,424.9820,.3399232,4.868536,-99.00000,-99,-99,-99,-99,-99,0,0,722,692,387,305,36,0,68,3,200,0,241,0,9,42,164,87,.4626924,-99,-99,-99,-99,-99,-99,-99,-99,250,28009,28006,0,0,203035,202997,.000000,.1440371E-01,26.26286,27.22828,43.49557,-99.00000,8.927178,9.255343,14.78486,-99.00000,84.21185,69.88536,28.62500,23.75519,198,21.54546,10.02576,17.05606,13.50942,398.7878,641.3000,618.5616,231.3413,387.2204,1,
6,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,US02342465,         45.000,        -95.000,      -99,2015032,2015105,2015122,2015213,2015321,2015321,2015,-99,14922,5197,5197,0,7808,.3317443,1566,313.2864,.3482447,4.542349,-99.00000,-99,-99,-99,-99,-99,0,0,643,632,370,262,22,0,64,3,200,0,232,0,11,33,147,88,.2900024,-99,-99,-99,-99,-99,-99,-99,-99,250,28022,28020,0,0,203201,203163,.000000,.000000,26.26671,25.93292,40.29158,-99.00000,9.148037,9.031788,14.03255,-99.00000,74.61060,64.31948,25.98500,22.40086,216,22.85648,10.40695,17.68750,13.33699,401.0162,568.1000,575.4121,205.0586,370.3533,1,
7,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,US02342465,         45.000,        -95.000,      -99,2016032,2016110,2016127,2016214,2016327,2016327,2016,-99,16380,6546,6546,0,8408,.4145428,1579,315.8168,.3996307,4.836904,-99.00000,-99,-99,-99,-99,-99,0,0,811,705,431,274,47,0,134,3,200,0,242,0,11,43,161,99,.2503021,-99,-99,-99,-99,-99,-99,-99,-99,250,28013,28011,0,0,203110,203079,.000000,.4717723E-01,21.96309,25.06365,38.01143,-99.00000,8.777153,10.01624,15.19058,-99.00000,81.90035,67.68624,32.73000,27.04959,217,22.10000,10.61198,17.29309,13.22040,404.3456,745.7999,653.5389,222.6141,430.9248,32,
8,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,US02342465,         45.000,        -95.000,      -99,2017032,2017107,2017130,2017217,2017308,2017308,2017,-99,19172,6755,6755,0,10881,.3088857,2187,437.3946,.3523560,4.901613,-99.00000,-99,-99,-99,-99,-99,0,0,772,665,428,236,47,0,135,3,200,0,239,0,11,40,165,98,.2909127,-99,-99,-99,-99,-99,-99,-99,-99,250,28010,28007,0,0,202956,202919,.000000,.000000,27.31783,31.75485,44.77269,-99.00000,9.625251,11.18860,15.77535,-99.00000,95.85826,80.21612,33.77500,28.26360,201,21.78359,10.12289,17.94179,13.58566,406.5310,701.7999,603.7393,175.5396,428.1997,1,
9,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,US02342465,         45.000,        -95.000,      -99,2018032,2018121,2018131,2018209,2018291,2018291,2018,-99,21697,8089,8089,0,12755,.2993715,2702,540.3910,.3728152,4.874259,-99.00000,-99,-99,-99,-99,-99,0,0,773,650,424,226,55,0,141,3,200,0,247,0,9,48,185,118,.3897861,-99,-99,-99,-99,-99,-99,-99,-99,250,27996,27994,0,0,202662,202630,.000000,.2002511E-01,31.99640,37.58675,51.12464,-99.00000,11.92892,14.01312,19.06032,-99.00000,108.4838,87.84114,40.44500,32.74899,170,23.70529,12.80706,17.89294,13.91896,408.5857,678.1000,577.2449,152.8555,424.3895,1,
10,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,US02342465,         45.000,        -95.000,      -99,2019032,2019114,2019140,2019225,2019297,2019297,2019,-99,20208,5933,5933,0,11692,.2236572,2653,530.5822,.2936197,4.859461,-99.00000,-99,-99,-99,-99,-99,0,0,881,691,378,313,75,0,189,3,200,0,245,0,10,46,177,90,.4430033,-99,-99,-99,-99,-99,-99,-99,-99,250,27998,27995,0,0,202602,202567,.000000,.000000,28.17604,33.90707,53.42485,-99.00000,8.272449,9.955070,15.68547,-99.00000,101.0393,82.48104,29.66500,24.21633,183,21.51367,10.81967,17.95847,13.80240,411.4766,717.1999,595.9777,217.7302,378.2483,32,
11,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2020,US02342465,         45.000,        -95.000,      -99,2020032,2020120,2020140,2020217,2020300,2020300,2020,-99,15434,4539,4539,0,7444,.2717676,1670,334.0123,.2940614,4.351819,-99.00000,-99,-99,-99,-99,-99,0,0,603,612,393,220,24,0,32,3,200,0,229,0,13,32,148,73,.2233899,-99,-99,-99,-99,-99,-99,-99,-99,250,28015,28013,0,0,202964,202927,.000000,.000000,29.08875,28.08092,39.32130,-99.00000,8.554467,8.258083,11.56367,-99.00000,77.17244,67.39951,22.69500,19.82096,180,22.70444,11.38778,18.98056,13.74159,414.0159,530.6000,549.6432,157.1210,392.5223,1,
