RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,104,     -99,     -99,     -99,     -99,     -99,     194,     -99,   10155,     -99,     -99,     -99,    2855,     -99,  0.3557,     -99,   571.0,     -99,   22711,     -99,   12643,     -99,    4.93,     -99,   0.447,     -99,     -99,     -99,     128,     -99,     171,     -99,      43,     -99,     1.3,     -99,    9691,     -99,     176,     -99,   26.65,     -99,      17,     -99
2,USMZ8001,SN,1,1,MZ,85,     -99,     -99,     -99,     -99,     -99,     173,     -99,    3667,     -99,     -99,     -99,    1452,     -99,  0.2526,     -99,   290.4,     -99,   11886,     -99,    8298,     -99,    4.16,     -99,   0.309,     -99,     -99,     -99,      66,     -99,     160,     -99,      94,     -99,     1.8,     -99,    7675,     -99,     156,     -99,   26.14,     -99,      13,     -99
3,USMZ8001,SN,1,1,MZ,86,     -99,     -99,     -99,     -99,     -99,     141,     -99,    1232,     -99,     -99,     -99,     849,     -99,  0.1451,     -99,   169.8,     -99,    7234,     -99,    6077,     -99,    3.84,     -99,   0.170,     -99,     -99,     -99,      23,     -99,     138,     -99,     116,     -99,     1.8,     -99,    5839,     -99,     138,     -99,   28.71,     -99,      10,     -99
4,USMZ8001,SN,1,1,MZ,94,     -99,     -99,     -99,     -99,     -99,     159,     -99,    1986,     -99,     -99,     -99,    1521,     -99,  0.1306,     -99,   304.2,     -99,   11705,     -99,    9806,     -99,    4.69,     -99,   0.170,     -99,     -99,     -99,      37,     -99,     171,     -99,     134,     -99,     1.9,     -99,    8931,     -99,     173,     -99,   27.73,     -99,      15,     -99
5,USMZ8001,SN,1,1,MZ,94,     -99,     -99,     -99,     -99,     -99,     172,     -99,    2196,     -99,     -99,     -99,     751,     -99,  0.2926,     -99,   150.1,     -99,    7043,     -99,    4908,     -99,    3.22,     -99,   0.312,     -99,     -99,     -99,      38,     -99,     108,     -99,      70,     -99,     1.7,     -99,    4504,     -99,     108,     -99,   27.38,     -99,      20,     -99
6,USMZ8001,SN,1,1,MZ,90,     -99,     -99,     -99,     -99,     -99,     150,     -99,    3584,     -99,     -99,     -99,    1601,     -99,  0.2238,     -99,   320.3,     -99,   11394,     -99,    7884,     -99,    3.99,     -99,   0.315,     -99,     -99,     -99,      63,     -99,     154,     -99,      91,     -99,     1.8,     -99,    6465,     -99,     154,     -99,   26.70,     -99,       9,     -99
7,USMZ8001,SN,1,1,MZ,97,     -99,     -99,     -99,     -99,     -99,     168,     -99,    3572,     -99,     -99,     -99,    1220,     -99,  0.2928,     -99,   244.0,     -99,    9243,     -99,    5735,     -99,    2.79,     -99,   0.386,     -99,     -99,     -99,      62,     -99,     108,     -99,      46,     -99,     1.7,     -99,    4560,     -99,     108,     -99,   28.84,     -99,      17,     -99
8,USMZ8001,SN,1,1,MZ,100,     -99,     -99,     -99,     -99,     -99,     191,     -99,    6364,     -99,     -99,     -99,    1946,     -99,  0.3271,     -99,   389.2,     -99,   13240,     -99,    6938,     -99,    2.42,     -99,   0.481,     -99,     -99,     -99,     110,     -99,     149,     -99,      38,     -99,     1.7,     -99,    4802,     -99,      98,     -99,   28.65,     -99,      21,     -99
9,USMZ8001,SN,1,1,MZ,82,     -99,     -99,     -99,     -99,     -99,     151,     -99,    2169,     -99,     -99,     -99,    1015,     -99,  0.2137,     -99,   203.0,     -99,   11647,     -99,    9567,     -99,    4.91,     -99,   0.186,     -99,     -99,     -99,      39,     -99,     184,     -99,     145,     -99,     1.8,     -99,    9053,     -99,     184,     -99,   28.09,     -99,       9,     -99
10,USMZ8001,SN,1,1,MZ,103,     -99,     -99,     -99,     -99,     -99,     192,     -99,    8599,     -99,     -99,     -99,    2526,     -99,  0.3404,     -99,   505.2,     -99,   20688,     -99,   12176,     -99,    4.88,     -99,   0.416,     -99,     -99,     -99,     122,     -99,     174,     -99,      53,     -99,     1.4,     -99,    9503,     -99,     184,     -99,   26.61,     -99,      22,     -99
11,USMZ8001,SN,1,1,MZ,89,     -99,     -99,     -99,     -99,     -99,     137,     -99,    1947,     -99,     -99,     -99,    1678,     -99,  0.1161,     -99,   335.6,     -99,    9653,     -99,    7780,     -99,    3.88,     -99,   0.202,     -99,     -99,     -99,      35,     -99,     142,     -99,     107,     -99,     1.8,     -99,    6148,     -99,     142,     -99,   28.15,     -99,      17,     -99
12,USMZ8001,SN,1,1,MZ,88,     -99,     -99,     -99,     -99,     -99,     150,     -99,    1376,     -99,     -99,     -99,     670,     -99,  0.2052,     -99,   134.1,     -99,    5960,     -99,    4640,     -99,    1.76,     -99,   0.231,     -99,     -99,     -99,      24,     -99,     102,     -99,      78,     -99,     1.8,     -99,    4290,     -99,     102,     -99,   29.55,     -99,      15,     -99
13,USMZ8001,SN,1,1,MZ,83,     -99,     -99,     -99,     -99,     -99,     147,     -99,    1508,     -99,     -99,     -99,     836,     -99,  0.1804,     -99,   167.2,     -99,    8261,     -99,    6830,     -99,    4.19,     -99,   0.182,     -99,     -99,     -99,      27,     -99,     166,     -99,     138,     -99,     1.8,     -99,    6752,     -99,     166,     -99,   28.76,     -99,       8,     -99
14,USMZ8001,SN,1,1,MZ,76,     -99,     -99,     -99,     -99,     -99,     135,     -99,    1119,     -99,     -99,     -99,     636,     -99,  0.1759,     -99,   127.2,     -99,    6820,     -99,    5763,     -99,    3.02,     -99,   0.164,     -99,     -99,     -99,      20,     -99,     140,     -99,     120,     -99,     1.8,     -99,    5562,     -99,     140,     -99,   28.09,     -99,       9,     -99
