RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,68,     -99,     -99,     -99,     -99,     -99,     110,     -99,     766,     -99,     -99,     -99,     947,     -99,  0.0809,     -99,   189.4,     -99,    8063,     -99,    7369,     -99,    3.68,     -99,   0.095,     -99,     -99,     -99,      14,     -99,     152,     -99,     137,     -99,     1.8,     -99,    6898,     -99,     152,     -99,   27.11,     -99,       8,     -99
2,USMZ8001,SN,1,1,MZ,72,     -99,     -99,     -99,     -99,     -99,     113,     -99,    1139,     -99,     -99,     -99,    1738,     -99,  0.0656,     -99,   347.5,     -99,    9566,     -99,    8500,     -99,    3.58,     -99,   0.119,     -99,     -99,     -99,      21,     -99,     152,     -99,     131,     -99,     1.8,     -99,    7162,     -99,     150,     -99,   27.93,     -99,       7,     -99
3,USMZ8001,SN,1,1,MZ,72,     -99,     -99,     -99,     -99,     -99,     116,     -99,     520,     -99,     -99,     -99,     554,     -99,  0.0940,     -99,   110.7,     -99,    8502,     -99,    8064,     -99,    4.47,     -99,   0.061,     -99,     -99,     -99,       9,     -99,     181,     -99,     172,     -99,     1.8,     -99,    8059,     -99,     181,     -99,   27.96,     -99,      10,     -99
4,USMZ8001,SN,1,1,MZ,77,     -99,     -99,     -99,     -99,     -99,     122,     -99,     994,     -99,     -99,     -99,     927,     -99,  0.1073,     -99,   185.3,     -99,    9054,     -99,    8140,     -99,    4.47,     -99,   0.110,     -99,     -99,     -99,      18,     -99,     167,     -99,     149,     -99,     1.8,     -99,    7665,     -99,     164,     -99,   27.30,     -99,      11,     -99
5,USMZ8001,SN,1,1,MZ,76,     -99,     -99,     -99,     -99,     -99,     126,     -99,    6223,     -99,     -99,     -99,    3031,     -99,  0.2053,     -99,   606.1,     -99,   19932,     -99,   13798,     -99,    5.07,     -99,   0.312,     -99,     -99,     -99,     108,     -99,     196,     -99,      88,     -99,     1.7,     -99,   10357,     -99,     201,     -99,   27.35,     -99,       8,     -99
6,USMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     117,     -99,    1487,     -99,     -99,     -99,    2339,     -99,  0.0636,     -99,   467.9,     -99,   12166,     -99,   10759,     -99,    4.37,     -99,   0.122,     -99,     -99,     -99,      27,     -99,     175,     -99,     147,     -99,     1.8,     -99,    8239,     -99,     171,     -99,   26.73,     -99,       9,     -99
7,USMZ8001,SN,1,1,MZ,73,     -99,     -99,     -99,     -99,     -99,     117,     -99,    2680,     -99,     -99,     -99,    2429,     -99,  0.1103,     -99,   485.7,     -99,   14616,     -99,   12026,     -99,    5.04,     -99,   0.183,     -99,     -99,     -99,      48,     -99,     192,     -99,     143,     -99,     1.8,     -99,    9710,     -99,     193,     -99,   27.07,     -99,       8,     -99
8,USMZ8001,SN,1,1,MZ,75,     -99,     -99,     -99,     -99,     -99,     121,     -99,    3805,     -99,     -99,     -99,    2859,     -99,  0.1331,     -99,   571.9,     -99,   16469,     -99,   12754,     -99,    4.92,     -99,   0.231,     -99,     -99,     -99,      68,     -99,     194,     -99,     126,     -99,     1.8,     -99,    9548,     -99,     194,     -99,   27.09,     -99,       6,     -99
9,USMZ8001,SN,1,1,MZ,69,     -99,     -99,     -99,     -99,     -99,     114,     -99,    1954,     -99,     -99,     -99,    1559,     -99,  0.1254,     -99,   311.7,     -99,   10239,     -99,    8359,     -99,    3.53,     -99,   0.191,     -99,     -99,     -99,      35,     -99,     153,     -99,     117,     -99,     1.8,     -99,    7051,     -99,     150,     -99,   28.55,     -99,      10,     -99
10,USMZ8001,SN,1,1,MZ,75,     -99,     -99,     -99,     -99,     -99,     122,     -99,    5422,     -99,     -99,     -99,    3100,     -99,  0.1749,     -99,   620.0,     -99,   18601,     -99,   13267,     -99,    4.99,     -99,   0.291,     -99,     -99,     -99,      95,     -99,     183,     -99,      89,     -99,     1.7,     -99,    9931,     -99,     188,     -99,   28.02,     -99,       9,     -99
