RUNNO,TRNO,R#,O#,P#,CR,MODEL,EXNAME,TNAM,FNAM,WSTA,WYEAR,SOIL_ID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CRST
1,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2010,LK04288571,          7.458,         80.875,    296.6,2010121,2010245,2010251,2010312,2011008,2011008,2011,-99,14744,4671,4671,0,6438,.2889769,1616,323.2645,.3167944,3.885462,-99.00000,-99,-99,-99,-99,-99,0,0,2701,940,297,644,515,962,349,2,100,0,141,57,12,106,121,59,.5597675,-99,-99,-99,-99,-99,-99,-99,-99,250,25705,25704,0,0,184814,184783,.000000,.9423216E-03,7.592142,31.36310,49.68253,-99.00000,2.405252,9.936086,15.73983,-99.00000,147.4394,104.5670,46.71000,33.12766,128,27.22265,21.48750,15.46641,11.75865,390.4716,1942.000,470.1046,174.7116,296.7631,1,
2,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2011,LK04288571,          7.458,         80.875,    296.6,2011121,2011244,2011249,2011309,2012002,2012002,2012,-99,17194,5555,5555,0,7863,.2705834,2053,410.6269,.3231057,4.483101,-99.00000,-99,-99,-99,-99,-99,0,0,1488,825,350,475,164,320,243,2,100,0,166,11,18,87,141,72,.4353191,-99,-99,-99,-99,-99,-99,-99,-99,250,25726,25724,0,0,184999,184969,.000000,.000000,15.06122,34.62483,49.11050,-99.00000,4.865979,11.18659,15.86662,-99.00000,171.9388,103.5776,55.55000,33.46386,123,28.68861,21.51545,17.35854,11.77038,392.2950,1141.600,496.5767,150.1350,350.1061,1,
3,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2012,LK04288571,          7.458,         80.875,    296.6,2012121,2012245,2012250,2012308,2012366,2012366,2012,-99,15733,5146,5146,0,7099,.2703557,1903,380.6662,.3270581,4.299108,-99.00000,-99,-99,-99,-99,-99,0,0,1947,744,335,410,424,589,254,2,100,0,159,18,13,82,135,70,.2484547,-99,-99,-99,-99,-99,-99,-99,-99,250,25731,25729,0,0,185060,185029,.000000,.000000,9.498601,33.80622,46.99170,-99.00000,3.106738,11.05711,15.36972,-99.00000,157.3348,98.95272,51.46000,32.36478,121,28.90578,21.75785,16.87934,11.76897,394.7863,1656.400,465.4020,133.4283,334.8141,1,
4,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2013,LK04288571,          7.458,         80.875,    296.6,2013121,2013254,2013260,2013319,2014013,2014013,2014,-99,16680,5528,5528,0,7845,.2760001,2003,400.5592,.3313896,4.447544,-99.00000,-99,-99,-99,-99,-99,0,0,1482,914,345,570,150,222,260,2,100,0,176,17,24,109,150,80,.2373481,-99,-99,-99,-99,-99,-99,-99,-99,250,25704,25702,0,0,184808,184775,.000000,.3191841E-01,21.72779,37.69566,48.36626,-99.00000,7.200729,12.49258,16.02888,-99.00000,166.8043,94.77515,55.28000,31.40909,124,28.56936,21.18226,16.97903,11.72702,397.3549,767.7000,442.5027,100.3653,344.8774,1,
5,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2014,LK04288571,          7.458,         80.875,    296.6,2014121,2014244,2014250,2014309,2015002,2015002,2015,-99,15661,5215,5215,0,7449,.2703126,1929,385.8557,.3329966,4.200797,-99.00000,-99,-99,-99,-99,-99,0,0,2491,761,298,463,520,1005,269,2,100,0,154,43,11,103,133,71,.3246215,-99,-99,-99,-99,-99,-99,-99,-99,250,25709,25708,0,0,184826,184796,.000000,.4800596E-01,7.741889,37.46243,52.52544,-99.00000,2.577982,12.47466,17.49051,-99.00000,156.6107,101.6953,52.15000,33.86364,123,28.06667,22.05447,15.39594,11.77038,399.2741,2022.900,418.0473,123.4786,298.1616,1,
6,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2015,LK04288571,          7.458,         80.875,    296.6,2015121,2015258,2015264,2015324,2016017,2016017,2016,-99,13826,4066,4066,0,5800,.2586076,1572,314.4294,.2940564,3.944496,-99.00000,-99,-99,-99,-99,-99,0,0,2047,937,310,627,258,689,227,2,100,0,142,46,20,106,122,56,.8452705,-99,-99,-99,-99,-99,-99,-99,-99,250,25705,25703,0,0,184764,184735,.000000,.1066439,9.242136,28.63518,44.59368,-99.00000,2.717915,8.420994,13.11405,-99.00000,138.2623,97.36784,40.66000,28.63380,124,28.16854,21.87823,16.11291,11.71251,401.9729,1496.000,482.8409,176.1564,310.0491,1,
7,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2016,LK04288571,          7.458,         80.875,    296.6,2016121,2016244,2016249,2016303,2016358,2016358,2016,-99,14428,4963,4963,0,7531,.2579999,1924,384.7518,.3439980,3.839939,-99.00000,-99,-99,-99,-99,-99,0,0,1170,825,332,493,142,51,217,2,100,0,182,5,32,110,144,84,.1899063,-99,-99,-99,-99,-99,-99,-99,-99,250,25702,25700,0,0,184770,184736,.000000,.000000,27.88072,34.53576,43.45862,-99.00000,9.590338,11.87952,14.94878,-99.00000,144.2827,79.27621,49.63000,27.26923,114,30.58597,21.92632,17.77369,11.78621,404.9417,517.5000,417.7778,89.52932,332.0002,1,
8,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2017,LK04288571,          7.458,         80.875,    296.6,2017121,2017245,2017251,2017307,2017364,2017364,2017,-99,15466,4916,4916,0,7344,.2640002,1862,372.4232,.3178529,4.448275,-99.00000,-99,-99,-99,-99,-99,0,0,1912,1038,345,693,213,482,243,2,100,0,169,31,19,113,145,78,.3929696,-99,-99,-99,-99,-99,-99,-99,-99,250,25699,25698,0,0,184749,184719,.000000,.3529119E-01,13.05719,31.84417,44.80145,-99.00000,4.150274,10.12178,14.24030,-99.00000,154.6624,91.51620,49.16000,29.08876,119,29.15294,21.95882,17.10420,11.77227,407.0192,1184.500,485.6851,144.0432,345.2174,1,
9,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2018,LK04288571,          7.458,         80.875,    296.6,2018121,2018246,2018251,2018309,2019002,2019002,2019,-99,15398,4820,4820,0,6900,.2701225,1784,356.8506,.3130124,4.267716,-99.00000,-99,-99,-99,-99,-99,0,0,1852,1020,350,670,172,484,240,2,100,0,163,40,22,121,139,70,.4213982,-99,-99,-99,-99,-99,-99,-99,-99,250,25691,25690,0,0,184700,184671,.000000,.3331440E-01,14.05540,30.38560,43.99905,-99.00000,4.399817,9.511723,13.77320,-99.00000,153.9769,94.46439,48.20000,29.57055,121,28.95207,21.40496,17.94628,11.76437,409.4192,1095.500,506.7431,160.0646,349.9551,1,
10,1,1,1,1,MZ,MZCER048,USMZ8001,Maize rainfed            ,GENERIC2,GHCP.WTH,2019,LK04288571,          7.458,         80.875,    296.6,2019121,2019245,2019250,2019309,2019365,2019365,2019,-99,15207,5002,5002,0,7106,.2587190,1933,386.6898,.3289460,3.932359,-99.00000,-99,-99,-99,-99,-99,0,0,2245,999,319,680,305,774,232,2,100,0,140,47,16,99,120,63,.5787404,-99,-99,-99,-99,-99,-99,-99,-99,250,25712,25710,0,0,184847,184817,.000000,.6228893E-01,9.463408,31.20866,47.72911,-99.00000,3.112826,10.26555,15.69968,-99.00000,152.0675,108.6196,50.02000,35.72857,120,28.55499,21.93833,16.80000,11.77060,412.1892,1606.900,487.2606,171.3675,318.6053,1,
