RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     111,     -99,    3506,     -99,     -99,     -99,    1505,     -99,  0.2329,     -99,   301.0,     -99,   13538,     -99,   10119,     -99,    4.12,     -99,   0.259,     -99,     -99,     -99,      50,     -99,     121,     -99,      71,     -99,     1.4,     -99,    8487,     -99,     112,     -99,   27.70,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,61,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4615,     -99,     -99,     -99,    1873,     -99,  0.2464,     -99,   374.6,     -99,   14308,     -99,    9774,     -99,    3.93,     -99,   0.323,     -99,     -99,     -99,      63,     -99,     122,     -99,      59,     -99,     1.4,     -99,    7733,     -99,     114,     -99,   27.75,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4099,     -99,     -99,     -99,    1751,     -99,  0.2341,     -99,   350.2,     -99,   13978,     -99,    9960,     -99,    4.01,     -99,   0.293,     -99,     -99,     -99,      55,     -99,     119,     -99,      64,     -99,     1.4,     -99,    7904,     -99,     111,     -99,   28.38,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     108,     -99,    4287,     -99,     -99,     -99,    1917,     -99,  0.2236,     -99,   383.4,     -99,   11644,     -99,    7418,     -99,    2.44,     -99,   0.368,     -99,     -99,     -99,      72,     -99,     113,     -99,      40,     -99,     1.7,     -99,    5364,     -99,     110,     -99,   27.87,     -99,       5,     -99
5,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4115,     -99,     -99,     -99,    1772,     -99,  0.2322,     -99,   354.4,     -99,   14235,     -99,   10202,     -99,    4.21,     -99,   0.289,     -99,     -99,     -99,      61,     -99,     131,     -99,      70,     -99,     1.5,     -99,    8385,     -99,     124,     -99,   27.92,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3725,     -99,     -99,     -99,    1659,     -99,  0.2245,     -99,   331.8,     -99,   14199,     -99,   10561,     -99,    4.41,     -99,   0.262,     -99,     -99,     -99,      56,     -99,     133,     -99,      77,     -99,     1.5,     -99,    8851,     -99,     128,     -99,   28.52,     -99,       5,     -99
7,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     108,     -99,    4426,     -99,     -99,     -99,    1857,     -99,  0.2384,     -99,   371.4,     -99,   13401,     -99,    9044,     -99,    3.61,     -99,   0.330,     -99,     -99,     -99,      76,     -99,     135,     -99,      59,     -99,     1.7,     -99,    7350,     -99,     134,     -99,   28.55,     -99,       5,     -99
8,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     107,     -99,    3343,     -99,     -99,     -99,    1499,     -99,  0.2230,     -99,   299.8,     -99,   12434,     -99,    9174,     -99,    4.11,     -99,   0.269,     -99,     -99,     -99,      55,     -99,     122,     -99,      67,     -99,     1.6,     -99,    7845,     -99,     119,     -99,   28.35,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     108,     -99,    3894,     -99,     -99,     -99,    1723,     -99,  0.2261,     -99,   344.6,     -99,   14101,     -99,   10287,     -99,    4.19,     -99,   0.276,     -99,     -99,     -99,      62,     -99,     137,     -99,      75,     -99,     1.6,     -99,    8648,     -99,     131,     -99,   28.22,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4682,     -99,     -99,     -99,    2126,     -99,  0.2203,     -99,   425.1,     -99,   14663,     -99,   10061,     -99,    4.08,     -99,   0.319,     -99,     -99,     -99,      63,     -99,     121,     -99,      58,     -99,     1.3,     -99,    7845,     -99,     114,     -99,   28.29,     -99,       5,     -99
