RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     117,     -99,    4500,     -99,     -99,     -99,    1829,     -99,  0.2460,     -99,   365.8,     -99,   14670,     -99,   10250,     -99,    4.16,     -99,   0.307,     -99,     -99,     -99,      68,     -99,     135,     -99,      67,     -99,     1.5,     -99,    8254,     -99,     129,     -99,   26.75,     -99,       6,     -99
2,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     115,     -99,    5113,     -99,     -99,     -99,    2185,     -99,  0.2339,     -99,   437.1,     -99,   16135,     -99,   11106,     -99,    4.37,     -99,   0.317,     -99,     -99,     -99,      73,     -99,     141,     -99,      68,     -99,     1.4,     -99,    8538,     -99,     132,     -99,   27.65,     -99,       6,     -99
3,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     115,     -99,    5307,     -99,     -99,     -99,    2159,     -99,  0.2458,     -99,   431.8,     -99,   15510,     -99,   10282,     -99,    4.32,     -99,   0.342,     -99,     -99,     -99,      77,     -99,     136,     -99,      59,     -99,     1.5,     -99,    8047,     -99,     130,     -99,   27.51,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     115,     -99,    5227,     -99,     -99,     -99,    2126,     -99,  0.2459,     -99,   425.1,     -99,   15779,     -99,   10631,     -99,    4.23,     -99,   0.331,     -99,     -99,     -99,      76,     -99,     140,     -99,      64,     -99,     1.4,     -99,    8410,     -99,     131,     -99,   27.34,     -99,       6,     -99
5,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     116,     -99,    4697,     -99,     -99,     -99,    1956,     -99,  0.2401,     -99,   391.2,     -99,   15410,     -99,   10797,     -99,    4.42,     -99,   0.305,     -99,     -99,     -99,      67,     -99,     136,     -99,      69,     -99,     1.4,     -99,    8724,     -99,     130,     -99,   27.99,     -99,       6,     -99
6,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4196,     -99,     -99,     -99,    1799,     -99,  0.2332,     -99,   359.8,     -99,   14295,     -99,   10180,     -99,    4.18,     -99,   0.294,     -99,     -99,     -99,      66,     -99,     136,     -99,      69,     -99,     1.6,     -99,    8237,     -99,     130,     -99,   27.54,     -99,       6,     -99
7,GHMZ8001,SN,1,1,MZ,63,     -99,     -99,     -99,     -99,     -99,     115,     -99,    4504,     -99,     -99,     -99,    1878,     -99,  0.2399,     -99,   375.5,     -99,   14649,     -99,   10224,     -99,    4.11,     -99,   0.307,     -99,     -99,     -99,      74,     -99,     142,     -99,      69,     -99,     1.6,     -99,    8350,     -99,     134,     -99,   27.89,     -99,       6,     -99
8,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4743,     -99,     -99,     -99,    1976,     -99,  0.2400,     -99,   395.3,     -99,   15169,     -99,   10510,     -99,    4.39,     -99,   0.313,     -99,     -99,     -99,      73,     -99,     141,     -99,      68,     -99,     1.5,     -99,    8531,     -99,     134,     -99,   27.40,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4663,     -99,     -99,     -99,    1946,     -99,  0.2396,     -99,   389.2,     -99,   15221,     -99,   10642,     -99,    4.32,     -99,   0.306,     -99,     -99,     -99,      70,     -99,     137,     -99,      67,     -99,     1.5,     -99,    8488,     -99,     131,     -99,   27.50,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,64,     -99,     -99,     -99,     -99,     -99,     114,     -99,    4762,     -99,     -99,     -99,    2114,     -99,  0.2253,     -99,   422.7,     -99,   15074,     -99,   10396,     -99,    4.34,     -99,   0.316,     -99,     -99,     -99,      73,     -99,     137,     -99,      65,     -99,     1.5,     -99,    8209,     -99,     132,     -99,   28.37,     -99,       5,     -99
