RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    3040,     -99,     -99,     -99,    1267,     -99,  0.2400,     -99,   253.3,     -99,   11572,     -99,    8607,     -99,    3.79,     -99,   0.263,     -99,     -99,     -99,      52,     -99,     123,     -99,      71,     -99,     1.7,     -99,    7456,     -99,     125,     -99,   28.36,     -99,       5,     -99
2,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     110,     -99,    3968,     -99,     -99,     -99,    1654,     -99,  0.2400,     -99,   330.7,     -99,   12824,     -99,    8931,     -99,    3.92,     -99,   0.309,     -99,     -99,     -99,      66,     -99,     126,     -99,      59,     -99,     1.7,     -99,    7354,     -99,     116,     -99,   27.13,     -99,       5,     -99
3,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4447,     -99,     -99,     -99,    1909,     -99,  0.2330,     -99,   381.8,     -99,   13833,     -99,    9459,     -99,    3.82,     -99,   0.321,     -99,     -99,     -99,      69,     -99,     132,     -99,      63,     -99,     1.5,     -99,    7508,     -99,     115,     -99,   27.26,     -99,       5,     -99
4,USMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     111,     -99,    4915,     -99,     -99,     -99,    2048,     -99,  0.2400,     -99,   409.6,     -99,   14473,     -99,    9632,     -99,    4.26,     -99,   0.340,     -99,     -99,     -99,      82,     -99,     141,     -99,      59,     -99,     1.7,     -99,    7494,     -99,     131,     -99,   26.83,     -99,       5,     -99
5,USMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    3630,     -99,     -99,     -99,    1512,     -99,  0.2400,     -99,   302.5,     -99,   11783,     -99,    8223,     -99,    3.84,     -99,   0.308,     -99,     -99,     -99,      62,     -99,     119,     -99,      57,     -99,     1.7,     -99,    6811,     -99,     114,     -99,   27.51,     -99,       5,     -99
6,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     108,     -99,    2755,     -99,     -99,     -99,    1204,     -99,  0.2289,     -99,   240.8,     -99,   10815,     -99,    8133,     -99,    3.89,     -99,   0.255,     -99,     -99,     -99,      48,     -99,     113,     -99,      65,     -99,     1.7,     -99,    7169,     -99,     115,     -99,   27.65,     -99,       5,     -99
7,USMZ8001,SN,1,1,MZ,61,     -99,     -99,     -99,     -99,     -99,     113,     -99,    5333,     -99,     -99,     -99,    2234,     -99,  0.2388,     -99,   446.7,     -99,   15602,     -99,   10343,     -99,    4.09,     -99,   0.342,     -99,     -99,     -99,      82,     -99,     141,     -99,      59,     -99,     1.5,     -99,    7953,     -99,     129,     -99,   26.92,     -99,       7,     -99
8,USMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4779,     -99,     -99,     -99,    2109,     -99,  0.2266,     -99,   421.7,     -99,   14266,     -99,    9559,     -99,    3.73,     -99,   0.335,     -99,     -99,     -99,      71,     -99,     128,     -99,      57,     -99,     1.5,     -99,    7324,     -99,     114,     -99,   27.26,     -99,       5,     -99
9,USMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    4161,     -99,     -99,     -99,    1734,     -99,  0.2400,     -99,   346.8,     -99,   13297,     -99,    9210,     -99,    3.71,     -99,   0.313,     -99,     -99,     -99,      66,     -99,     129,     -99,      63,     -99,     1.6,     -99,    7508,     -99,     111,     -99,   28.38,     -99,       5,     -99
10,USMZ8001,SN,1,1,MZ,57,     -99,     -99,     -99,     -99,     -99,     -99,     -99,    1159,     -99,     -99,     -99,    1959,     -99,  0.0591,     -99,   391.9,     -99,   10143,     -99,    9056,     -99,    4.03,     -99,   0.114,     -99,     -99,     -99,      19,     -99,     126,     -99,     107,     -99,     1.7,     -99,    7255,     -99,     120,     -99,   26.91,     -99,       5,     -99
