RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,USMZ8001,SN,1,1,MZ,106,     -99,     -99,     -99,     -99,     -99,     203,     -99,    5458,     -99,     -99,     -99,    1550,     -99,  0.3521,     -99,   310.0,     -99,   14966,     -99,    9585,     -99,    4.56,     -99,   0.365,     -99,     -99,     -99,      90,     -99,     155,     -99,      64,     -99,     1.7,     -99,    8418,     -99,     161,     -99,   25.30,     -99,      19,     -99
2,USMZ8001,SN,1,1,MZ,90,     -99,     -99,     -99,     -99,     -99,     166,     -99,    5515,     -99,     -99,     -99,    2863,     -99,  0.1926,     -99,   572.6,     -99,   18219,     -99,   12792,     -99,    4.84,     -99,   0.303,     -99,     -99,     -99,      95,     -99,     179,     -99,      84,     -99,     1.7,     -99,    9349,     -99,     187,     -99,   27.05,     -99,      11,     -99
3,USMZ8001,SN,1,1,MZ,98,     -99,     -99,     -99,     -99,     -99,     191,     -99,    7171,     -99,     -99,     -99,    2408,     -99,  0.2978,     -99,   481.6,     -99,   17759,     -99,   10675,     -99,    4.92,     -99,   0.404,     -99,     -99,     -99,     110,     -99,     166,     -99,      56,     -99,     1.5,     -99,    9550,     -99,     169,     -99,   26.76,     -99,      17,     -99
4,USMZ8001,SN,1,1,MZ,109,     -99,     -99,     -99,     -99,     -99,     180,     -99,    5507,     -99,     -99,     -99,    2564,     -99,  0.2148,     -99,   512.8,     -99,   18337,     -99,   12921,     -99,    4.81,     -99,   0.300,     -99,     -99,     -99,      87,     -99,     171,     -99,      84,     -99,     1.6,     -99,   10184,     -99,     176,     -99,   27.67,     -99,      16,     -99
5,USMZ8001,SN,1,1,MZ,95,     -99,     -99,     -99,     -99,     -99,     177,     -99,    4142,     -99,     -99,     -99,    1893,     -99,  0.2188,     -99,   378.6,     -99,   15222,     -99,   11168,     -99,    4.86,     -99,   0.272,     -99,     -99,     -99,      67,     -99,     165,     -99,      99,     -99,     1.6,     -99,    9385,     -99,     169,     -99,   26.87,     -99,      11,     -99
6,USMZ8001,SN,1,1,MZ,112,     -99,     -99,     -99,     -99,     -99,     223,     -99,    8484,     -99,     -99,     -99,    2486,     -99,  0.3413,     -99,   497.1,     -99,   19905,     -99,   11513,     -99,    5.00,     -99,   0.426,     -99,     -99,     -99,     113,     -99,     163,     -99,      50,     -99,     1.3,     -99,    9892,     -99,     174,     -99,   26.97,     -99,      18,     -99
7,USMZ8001,SN,1,1,MZ,109,     -99,     -99,     -99,     -99,     -99,     199,     -99,    7067,     -99,     -99,     -99,    2057,     -99,  0.3436,     -99,   411.4,     -99,   18329,     -99,   11352,     -99,    4.83,     -99,   0.386,     -99,     -99,     -99,     101,     -99,     164,     -99,      63,     -99,     1.4,     -99,    9539,     -99,     170,     -99,   27.94,     -99,      19,     -99
8,USMZ8001,SN,1,1,MZ,116,     -99,     -99,     -99,     -99,     -99,     201,     -99,    5699,     -99,     -99,     -99,    2110,     -99,  0.2701,     -99,   422.0,     -99,   18586,     -99,   12976,     -99,    4.83,     -99,   0.307,     -99,     -99,     -99,      86,     -99,     165,     -99,      79,     -99,     1.5,     -99,    9654,     -99,     173,     -99,   26.61,     -99,      24,     -99
9,USMZ8001,SN,1,1,MZ,89,     -99,     -99,     -99,     -99,     -99,     171,     -99,    5016,     -99,     -99,     -99,    1955,     -99,  0.2565,     -99,   391.1,     -99,   16947,     -99,   12017,     -99,    4.79,     -99,   0.296,     -99,     -99,     -99,      85,     -99,     164,     -99,      80,     -99,     1.7,     -99,    9507,     -99,     179,     -99,   26.60,     -99,      11,     -99
10,USMZ8001,SN,1,1,MZ,112,     -99,     -99,     -99,     -99,     -99,     183,     -99,    5777,     -99,     -99,     -99,    2582,     -99,  0.2237,     -99,   516.4,     -99,   20050,     -99,   14362,     -99,    4.86,     -99,   0.288,     -99,     -99,     -99,      88,     -99,     180,     -99,      91,     -99,     1.5,     -99,    9760,     -99,     181,     -99,   26.64,     -99,      26,     -99
