RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,76,     -99,     -99,     -99,     -99,     -99,     146,     -99,    4099,     -99,     -99,     -99,    1237,     -99,  0.3313,     -99,   247.5,     -99,   13137,     -99,    9113,     -99,    3.53,     -99,   0.312,     -99,     -99,     -99,      50,     -99,     103,     -99,      53,     -99,     1.2,     -99,    7315,     -99,      96,     -99,   26.78,     -99,       6,     -99
2,GHMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     142,     -99,    5024,     -99,     -99,     -99,    1608,     -99,  0.3125,     -99,   321.6,     -99,   15224,     -99,   10281,     -99,    4.00,     -99,   0.330,     -99,     -99,     -99,      66,     -99,     126,     -99,      60,     -99,     1.3,     -99,    8091,     -99,     117,     -99,   27.04,     -99,       6,     -99
3,GHMZ8001,SN,1,1,MZ,73,     -99,     -99,     -99,     -99,     -99,     140,     -99,    5441,     -99,     -99,     -99,    1775,     -99,  0.3066,     -99,   355.0,     -99,   15778,     -99,   10418,     -99,    4.06,     -99,   0.345,     -99,     -99,     -99,      67,     -99,     121,     -99,      54,     -99,     1.2,     -99,    7856,     -99,     115,     -99,   26.60,     -99,       6,     -99
4,GHMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     140,     -99,    5869,     -99,     -99,     -99,    1879,     -99,  0.3124,     -99,   375.8,     -99,   16424,     -99,   10635,     -99,    4.04,     -99,   0.357,     -99,     -99,     -99,      75,     -99,     131,     -99,      57,     -99,     1.3,     -99,    8189,     -99,     120,     -99,   25.95,     -99,       7,     -99
5,GHMZ8001,SN,1,1,MZ,75,     -99,     -99,     -99,     -99,     -99,     142,     -99,    3345,     -99,     -99,     -99,    1088,     -99,  0.3074,     -99,   217.6,     -99,   12161,     -99,    8893,     -99,    3.50,     -99,   0.275,     -99,     -99,     -99,      42,     -99,      99,     -99,      57,     -99,     1.3,     -99,    7412,     -99,      93,     -99,   26.95,     -99,       7,     -99
6,GHMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     138,     -99,    3965,     -99,     -99,     -99,    1315,     -99,  0.3016,     -99,   262.9,     -99,   13223,     -99,    9333,     -99,    3.61,     -99,   0.300,     -99,     -99,     -99,      48,     -99,     106,     -99,      58,     -99,     1.2,     -99,    7396,     -99,      95,     -99,   26.90,     -99,       6,     -99
7,GHMZ8001,SN,1,1,MZ,71,     -99,     -99,     -99,     -99,     -99,     137,     -99,    5804,     -99,     -99,     -99,    1897,     -99,  0.3060,     -99,   379.3,     -99,   15568,     -99,    9840,     -99,    3.72,     -99,   0.373,     -99,     -99,     -99,      88,     -99,     139,     -99,      50,     -99,     1.5,     -99,    7514,     -99,     130,     -99,   26.88,     -99,       6,     -99
8,GHMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     142,     -99,    5004,     -99,     -99,     -99,    1567,     -99,  0.3193,     -99,   313.4,     -99,   15331,     -99,   10408,     -99,    3.94,     -99,   0.326,     -99,     -99,     -99,      60,     -99,     122,     -99,      61,     -99,     1.2,     -99,    8097,     -99,     112,     -99,   27.12,     -99,       6,     -99
9,GHMZ8001,SN,1,1,MZ,74,     -99,     -99,     -99,     -99,     -99,     141,     -99,    4585,     -99,     -99,     -99,    1463,     -99,  0.3135,     -99,   292.5,     -99,   14333,     -99,    9826,     -99,    3.73,     -99,   0.320,     -99,     -99,     -99,      54,     -99,     110,     -99,      56,     -99,     1.2,     -99,    7630,     -99,     100,     -99,   26.73,     -99,       6,     -99
10,GHMZ8001,SN,1,1,MZ,72,     -99,     -99,     -99,     -99,     -99,     -99,     -99,    3713,     -99,     -99,     -99,    1501,     -99,  0.2474,     -99,   300.2,     -99,   12823,     -99,    9182,     -99,    3.44,     -99,   0.290,     -99,     -99,     -99,      44,     -99,     100,     -99,      56,     -99,     1.2,     -99,    6915,     -99,      91,     -99,   26.26,     -99,       6,     -99
