RUN,EXCODE,CG,TN,RN,CR,ADAPS,ADAPM,PD1PS,PD1PM,PDFPS,PDFPM,MDAPS,MDAPM,HWAMS,HWAMM,PWAMS,PWAMM,H#AMS,H#AMM,HWUMS,HWUMM,H#UMS,H#UMM,CWAMS,CWAMM,BWAMS,BWAMM,LAIXS,LAIXM,HIAMS,HIAMM,THAMS,THAMM,GNAMS,GNAMM,CNAMS,CNAMM,SNAMS,SNAMM,GN%MS,GN%MM,CWAAS,CWAAM,CNAAS,CNAAM,L#SMS,L#SMM,EDAPS,EDAPM                                                                                                                                                                                                                                                                                                                                                                                                                              
1,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    4052,     -99,     -99,     -99,    1690,     -99,  0.2397,     -99,   338.0,     -99,   14321,     -99,   10354,     -99,    4.38,     -99,   0.283,     -99,     -99,     -99,      63,     -99,     139,     -99,      76,     -99,     1.6,     -99,    8716,     -99,     129,     -99,   27.76,     -99,       5,     -99
2,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     111,     -99,    4606,     -99,     -99,     -99,    1923,     -99,  0.2396,     -99,   384.6,     -99,   14657,     -99,   10132,     -99,    4.08,     -99,   0.314,     -99,     -99,     -99,      66,     -99,     132,     -99,      65,     -99,     1.4,     -99,    8090,     -99,     122,     -99,   28.24,     -99,       5,     -99
3,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     111,     -99,    3971,     -99,     -99,     -99,    1658,     -99,  0.2395,     -99,   331.6,     -99,   13348,     -99,    9456,     -99,    4.01,     -99,   0.297,     -99,     -99,     -99,      60,     -99,     126,     -99,      66,     -99,     1.5,     -99,    7793,     -99,     115,     -99,   28.06,     -99,       5,     -99
4,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     109,     -99,    4915,     -99,     -99,     -99,    2062,     -99,  0.2384,     -99,   412.3,     -99,   12568,     -99,    7711,     -99,    2.48,     -99,   0.391,     -99,     -99,     -99,      85,     -99,     134,     -99,      49,     -99,     1.7,     -99,    5694,     -99,     113,     -99,   28.18,     -99,       5,     -99
5,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     112,     -99,    4263,     -99,     -99,     -99,    1831,     -99,  0.2328,     -99,   366.3,     -99,   14965,     -99,   10787,     -99,    4.37,     -99,   0.285,     -99,     -99,     -99,      72,     -99,     149,     -99,      77,     -99,     1.7,     -99,    8809,     -99,     140,     -99,   28.57,     -99,       5,     -99
6,GHMZ8001,SN,1,1,MZ,59,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4229,     -99,     -99,     -99,    1823,     -99,  0.2319,     -99,   364.7,     -99,   14516,     -99,   10369,     -99,    4.54,     -99,   0.291,     -99,     -99,     -99,      73,     -99,     152,     -99,      79,     -99,     1.7,     -99,    8585,     -99,     148,     -99,   27.88,     -99,       5,     -99
7,GHMZ8001,SN,1,1,MZ,62,     -99,     -99,     -99,     -99,     -99,     114,     -99,    5285,     -99,     -99,     -99,    2236,     -99,  0.2363,     -99,   447.2,     -99,   16039,     -99,   10833,     -99,    4.63,     -99,   0.330,     -99,     -99,     -99,      91,     -99,     157,     -99,      67,     -99,     1.7,     -99,    8468,     -99,     156,     -99,   26.78,     -99,       8,     -99
8,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     108,     -99,    3637,     -99,     -99,     -99,    1586,     -99,  0.2294,     -99,   317.2,     -99,   13166,     -99,    9608,     -99,    4.26,     -99,   0.276,     -99,     -99,     -99,      63,     -99,     136,     -99,      73,     -99,     1.7,     -99,    8135,     -99,     135,     -99,   28.07,     -99,       5,     -99
9,GHMZ8001,SN,1,1,MZ,58,     -99,     -99,     -99,     -99,     -99,     109,     -99,    3635,     -99,     -99,     -99,    1559,     -99,  0.2331,     -99,   311.9,     -99,   13453,     -99,    9894,     -99,    4.35,     -99,   0.270,     -99,     -99,     -99,      63,     -99,     144,     -99,      81,     -99,     1.7,     -99,    8461,     -99,     146,     -99,   27.90,     -99,       5,     -99
10,GHMZ8001,SN,1,1,MZ,60,     -99,     -99,     -99,     -99,     -99,     110,     -99,    4181,     -99,     -99,     -99,    1878,     -99,  0.2227,     -99,   375.5,     -99,   14441,     -99,   10342,     -99,    4.21,     -99,   0.290,     -99,     -99,     -99,      63,     -99,     136,     -99,      73,     -99,     1.5,     -99,    8321,     -99,     124,     -99,   28.19,     -99,       5,     -99
